gene_symbol,node_name
ATF2,ATF2
ATM,ATM
ELK1,ELK1
FOS,FOS
FRS2,FRS2
GAB1,GAB1
GRB2,GRB2
JUN,JUN
PRKCA,PKC
PRKCB,PKC
PRKCG,PKC
RAF1,RAF
BRAF,RAF
ARAF,RAF
RPS6KA1,RSK
RPS6KA2,RSK
RPS6KA3,RSK
RPS6KA6,RSK
TAOK1,TAOK
TAOK2,TAOK
TAOK3,TAOK
GADD45A,GADD45
GADD45B,GADD45
GADD45G,GADD45
MDM2,MDM2
MAP3K4,MTK1
MYC,MYC
CDKN2A,p14
CDKN1A,p21
MAPK11,p38
MAPK12,p38
MAPK13,p38
MAPK14,p38
TP53,p53
SMAD2,SMAD
SMAD3,SMAD
SMAD4,SMAD
MAP3K7,TAK1
TGFBR1,TGFBR
TGFBR2,TGFBR
TGFBR3,TGFBR
AKT1,AKT
AKT2,AKT
AKT3,AKT
BCL2,BCL2
CREB1,CREB
DUSP1,DUSP1
FGFR3,FGFR3
FOXO3,FOXO3
MAP3K1,MAP3K1_3
MAP3K2,MAP3K1_3
MAP3K3,MAP3K1_3
MAX,MAX
RPS6KA4,MSK
RPS6KA5,MSK
RPS6KB1,p70
RPS6KB2,p70
PDK1,PDK1
PIK3CA,PI3K
PLCG1,PLCG
PLCG2,PLCG
PPP2CA,PPP2CA
PTEN,PTEN
HRAS,RAS
KRAS,RAS
NRAS,RAS
SOS1,SOS
SOS2,SOS
SPRY2,SPRY
EGFR,EGFR
MAPK1,ERK
MAPK3,ERK
MAPK8,JNK
MAPK9,JNK
MAP2K1,MEK1_2
MAP2K2,MEK1_2
