STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-BL-A13I-01	1.0816	-0.7038	-0.1393	0.5924	0.3035	1.0295
blca_tcga_pub_2017	TCGA-CF-A1HR-01	-0.6415	0.4224	-0.3376	-1.2575	0.396	-0.2874
blca_tcga_pub_2017	TCGA-CF-A1HS-01	0.4417	2.715	-0.6011	1.9261	0.512	0.9381
blca_tcga_pub_2017	TCGA-DK-A1A3-01	-0.9114	-1.9568	0.3317	1.9925	-0.2082	0.4457
blca_tcga_pub_2017	TCGA-DK-A1A5-01	-2.0862	-1.6308	0.2541	0.2101	1.0582	0.0048
blca_tcga_pub_2017	TCGA-DK-A1A6-01	-0.7401	0.0838	-1.1604	-1.3478	0.7285	-0.771
blca_tcga_pub_2017	TCGA-DK-A1A7-01	-0.0243	0.689	-0.3868	-1.3904	-0.5926	-0.7031
blca_tcga_pub_2017	TCGA-DK-A1AA-01	0.2004	-0.7485	-0.8095	0.6216	1.6368	-0.8988
blca_tcga_pub_2017	TCGA-DK-A1AB-01	-0.1452	0.857	0.9658	1.9576	1.8877	0.063
blca_tcga_pub_2017	TCGA-DK-A1AC-01	0.9691	-0.8747	0.3641	0.6868	0.8665	-1.0341
blca_tcga_pub_2017	TCGA-DK-A1AD-01	0.4859	1.7303	-0.4808	-1.3209	-0.1879	-0.5175
blca_tcga_pub_2017	TCGA-DK-A1AE-01	0.0519	-0.6742	-0.6364	1.3958	0.6494	0.0475
blca_tcga_pub_2017	TCGA-DK-A1AF-01	-0.3801	-0.6204	1.1699	0.2633	1.2067	1.5286
blca_tcga_pub_2017	TCGA-DK-A1AG-01	0.4024	0.3465	-1.2664	0.0695	-0.1331	-0.5981
blca_tcga_pub_2017	TCGA-BT-A20J-01	-1.5919	1.692	1.2644	-0.0603	1.0146	0.5139
blca_tcga_pub_2017	TCGA-BT-A20N-01	-0.8807	-0.7026	-0.3145	-0.8719	1.4401	-0.8663
blca_tcga_pub_2017	TCGA-BT-A20O-01	0.1119	1.0354	0.1665	0.3554	1.5413	1.9425
blca_tcga_pub_2017	TCGA-BT-A20P-01	0.7469	-0.2086	-0.0588	-0.377	-1.6494	-0.2072
blca_tcga_pub_2017	TCGA-BT-A20Q-01	-1.1037	-0.4338	0.3858	0.302	1.6332	0.1414
blca_tcga_pub_2017	TCGA-BT-A20T-01	-2.02	0.0439	-0.0158	-1.0918	0.1528	-0.9468
blca_tcga_pub_2017	TCGA-BT-A20U-01	0.4644	-0.6816	-0.0083	1.6965	1.2917	-0.8686
blca_tcga_pub_2017	TCGA-BT-A20V-01	-1.9957	0.4026	-0.3355	0.4486	0.8385	-0.9406
blca_tcga_pub_2017	TCGA-BT-A20W-01	-0.994	-0.4676	0.1419	0.2099	0.683	-0.0504
blca_tcga_pub_2017	TCGA-BT-A20R-01	-0.2764	0.6411	0.8718	2.0272	0.7427	0.5832
blca_tcga_pub_2017	TCGA-BT-A20X-01	0.2607	0.7399	1.4229	1.0537	1.7913	0.0421
blca_tcga_pub_2017	TCGA-CF-A27C-01	0.3583	-0.1553	-1.1486	0.6067	1.0933	-0.0952
blca_tcga_pub_2017	TCGA-DK-A2I1-01	-0.8091	-1.0183	0.2585	-1.5759	-1.184	-0.2019
blca_tcga_pub_2017	TCGA-DK-A2I2-01	-0.6565	-1.4622	1.8822	0.1259	0.4401	-0.9873
blca_tcga_pub_2017	TCGA-G2-A2EC-01	-0.8669	-0.4431	0.7633	0.9799	0.7565	0.2356
blca_tcga_pub_2017	TCGA-G2-A2EJ-01	-1.4067	-0.3693	0.4019	0.5987	0.6553	-0.7116
blca_tcga_pub_2017	TCGA-G2-A2EO-01	-0.3019	-0.4973	0.134	-1.8076	0.0862	0.1155
blca_tcga_pub_2017	TCGA-G2-A2ES-01	-0.4218	-0.6373	-0.3853	0.161	0.368	-1.1807
blca_tcga_pub_2017	TCGA-GD-A2C5-01	0.7198	-0.9374	0.2155	-0.2919	0.6784	0.7741
blca_tcga_pub_2017	TCGA-H4-A2HO-01	-0.5954	-0.8374	0.309	1.1324	-1.8959	-0.6575
blca_tcga_pub_2017	TCGA-H4-A2HQ-01	-0.8876	0.655	0.0383	0.5754	1.1096	0.9662
blca_tcga_pub_2017	TCGA-BT-A2LA-01	0.1875	6.263	2.1302	-2.0527	-0.4388	0.6977
blca_tcga_pub_2017	TCGA-BT-A2LB-01	-0.3703	0.5705	1.2733	-0.5029	0.2023	0.1117
blca_tcga_pub_2017	TCGA-DK-A2HX-01	0.5712	1.084	1.2367	2.1858	-0.3063	1.0607
blca_tcga_pub_2017	TCGA-DK-A2I6-01	-0.8126	1.0638	-1.5883	-0.3728	-0.6914	0.3882
blca_tcga_pub_2017	TCGA-G2-A2EF-01	-1.1749	1.1958	1.2521	-0.5564	0.4786	1.1278
blca_tcga_pub_2017	TCGA-G2-A2EK-01	-0.9651	-0.1506	0.3977	1.3595	0.4449	-0.0313
blca_tcga_pub_2017	TCGA-G2-A2EL-01	-0.3146	0.5929	1.8889	0.1708	0.5627	-0.1469
blca_tcga_pub_2017	TCGA-E5-A2PC-01	1.6235	0.8872	-0.3385	-0.2364	0.596	-1.7636
blca_tcga_pub_2017	TCGA-FD-A3B3-01	-0.1765	0.3347	0.6706	1.4545	0.6275	0.4027
blca_tcga_pub_2017	TCGA-FD-A3B4-01	-0.2168	0.4458	0.3339	1.5472	1.3241	0.7923
blca_tcga_pub_2017	TCGA-FT-A3EE-01	-1.2247	-0.4973	-0.5945	0.3264	0.687	-0.0633
blca_tcga_pub_2017	TCGA-HQ-A2OE-01	-2.0544	0.7902	-0.1524	1.004	1.5447	-1.3043
blca_tcga_pub_2017	TCGA-BT-A2LD-01	-1.2407	2.3409	1.7553	1.114	-0.2464	1.2936
blca_tcga_pub_2017	TCGA-CF-A3MG-01	0.3213	-0.0117	-1.312	-0.6847	0.2791	-1.6978
blca_tcga_pub_2017	TCGA-CF-A3MH-01	0.9511	0.2401	-1.1268	-1.2833	-0.8431	-1.6809
blca_tcga_pub_2017	TCGA-CF-A3MI-01	0.7537	-0.3684	-0.5812	-0.3806	-1.6885	-0.8402
