STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-BL-A13I-01	1.0878	-0.6433	-0.419	0.1155	-0.0453	1.0682
blca_tcga_pub_2017	TCGA-CF-A1HR-01	-0.9306	1.2024	-0.5286	-1.0637	0.0586	-0.4039
blca_tcga_pub_2017	TCGA-CF-A1HS-01	0.2196	7.8188	-0.6427	2.2789	0.197	0.9355
blca_tcga_pub_2017	TCGA-DK-A1A3-01	-1.1656	-2.0469	-0.0452	2.4387	-0.5288	0.3076
blca_tcga_pub_2017	TCGA-DK-A1A5-01	-2.0004	-1.7341	-0.1203	-0.2455	0.99	-0.1481
blca_tcga_pub_2017	TCGA-DK-A1A6-01	-1.0186	0.576	-0.8013	-1.0942	0.4815	-0.76
blca_tcga_pub_2017	TCGA-DK-A1A7-01	-0.3193	1.7461	-0.5523	-1.108	-0.8083	-0.7145
blca_tcga_pub_2017	TCGA-DK-A1AA-01	-0.0685	-0.7036	-0.7129	0.1466	2.156	-0.8418
blca_tcga_pub_2017	TCGA-DK-A1AB-01	-0.4478	2.1133	0.8651	2.3539	2.7971	-0.093
blca_tcga_pub_2017	TCGA-DK-A1AC-01	0.9234	-0.8696	-0.012	0.2182	0.6827	-0.9235
blca_tcga_pub_2017	TCGA-DK-A1AD-01	0.2745	4.3768	-0.5945	-1.0853	-0.5123	-0.583
blca_tcga_pub_2017	TCGA-DK-A1AE-01	-0.2361	-0.6028	-0.6557	1.2076	0.3734	-0.1078
blca_tcga_pub_2017	TCGA-DK-A1AF-01	-0.6848	-0.5283	1.3141	-0.2001	1.2531	1.8971
blca_tcga_pub_2017	TCGA-DK-A1AG-01	0.1713	1.0561	-0.8221	-0.3587	-0.4665	-0.6414
blca_tcga_pub_2017	TCGA-BT-A20J-01	-1.6831	4.2636	1.5572	-0.455	0.9171	0.3865
blca_tcga_pub_2017	TCGA-BT-A20N-01	-1.1397	-0.6416	-0.5169	-0.9131	1.7149	-0.8215
blca_tcga_pub_2017	TCGA-BT-A20O-01	-0.1692	2.5257	-0.198	-0.118	1.9355	2.7407
blca_tcga_pub_2017	TCGA-BT-A20P-01	0.6138	0.087	-0.3676	-0.6608	-1.3204	-0.337
blca_tcga_pub_2017	TCGA-BT-A20Q-01	-1.3222	-0.2596	0.0109	-0.1662	2.1475	-0.0165
blca_tcga_pub_2017	TCGA-BT-A20T-01	-1.9604	0.5064	-0.3383	-1.0033	-0.2029	-0.8714
blca_tcga_pub_2017	TCGA-BT-A20U-01	0.2477	-0.613	-0.333	1.7729	1.414	-0.8229
blca_tcga_pub_2017	TCGA-BT-A20V-01	-1.9456	1.1639	-0.5275	-0.0301	0.6405	-0.8676
blca_tcga_pub_2017	TCGA-BT-A20W-01	-1.2339	-0.3094	-0.2186	-0.2457	0.4187	-0.199
blca_tcga_pub_2017	TCGA-BT-A20R-01	-0.5822	1.6449	0.6889	2.5248	0.5015	0.4692
blca_tcga_pub_2017	TCGA-BT-A20X-01	0.0016	1.8554	2.0235	0.6775	2.5396	-0.1129
blca_tcga_pub_2017	TCGA-CF-A27C-01	0.1178	0.1728	-0.7988	0.1306	1.0501	-0.2394
blca_tcga_pub_2017	TCGA-DK-A2I1-01	-1.0786	-1.0502	-0.1162	-1.1643	-1.1329	-0.3325
blca_tcga_pub_2017	TCGA-DK-A2I2-01	-0.9441	-1.5591	3.9135	-0.3144	0.1101	-0.8958
blca_tcga_pub_2017	TCGA-G2-A2EC-01	-1.128	-0.2734	0.506	0.5767	0.5211	0.0792
blca_tcga_pub_2017	TCGA-G2-A2EJ-01	-1.5521	-0.1629	0.0282	0.1221	0.3813	-0.7203
blca_tcga_pub_2017	TCGA-G2-A2EO-01	-0.6077	-0.3528	-0.225	-1.2262	-0.2683	-0.0421
blca_tcga_pub_2017	TCGA-G2-A2ES-01	-0.7253	-0.5518	-0.5516	-0.2861	0.0266	-1.0066
blca_tcga_pub_2017	TCGA-GD-A2C5-01	0.5773	-0.9495	-0.1554	-0.6093	0.4124	0.7107
blca_tcga_pub_2017	TCGA-H4-A2HO-01	-0.8886	-0.8213	-0.0678	0.79	-1.401	-0.6832
blca_tcga_pub_2017	TCGA-H4-A2HQ-01	-1.1456	1.6742	-0.2994	0.0975	1.0785	0.9758
blca_tcga_pub_2017	TCGA-BT-A2LA-01	-0.0833	34.7878	5.387	-1.283	-0.7039	0.6116
blca_tcga_pub_2017	TCGA-BT-A2LB-01	-0.6753	1.4987	1.5813	-0.7323	-0.1527	-0.0457
blca_tcga_pub_2017	TCGA-DK-A2HX-01	0.3827	2.6422	1.4834	2.942	-0.6062	1.1147
blca_tcga_pub_2017	TCGA-DK-A2I6-01	-1.0816	2.5935	-0.8728	-0.6583	-0.8706	0.2429
blca_tcga_pub_2017	TCGA-G2-A2EF-01	-1.3781	2.9171	1.524	-0.761	0.1562	1.217
blca_tcga_pub_2017	TCGA-G2-A2EK-01	-1.2101	0.1803	0.0236	1.146	0.1158	-0.1815
blca_tcga_pub_2017	TCGA-G2-A2EL-01	-0.6203	1.5449	3.9483	-0.2781	0.2604	-0.2851
blca_tcga_pub_2017	TCGA-E5-A2PC-01	1.9587	2.1816	-0.529	-0.5742	0.3032	-1.2877
blca_tcga_pub_2017	TCGA-FD-A3B3-01	-0.4803	1.0337	0.3654	1.3101	0.3443	0.2591
blca_tcga_pub_2017	TCGA-FD-A3B4-01	-0.5217	1.2483	-0.043	1.4795	1.4774	0.7348
blca_tcga_pub_2017	TCGA-FT-A3EE-01	-1.4164	-0.3528	-0.6402	-0.1444	0.4242	-0.2108
blca_tcga_pub_2017	TCGA-HQ-A2OE-01	-1.9813	1.9651	-0.427	0.6092	1.9432	-1.0725
blca_tcga_pub_2017	TCGA-BT-A2LD-01	-1.4287	6.3814	3.2966	0.7632	-0.5595	1.4836
blca_tcga_pub_2017	TCGA-CF-A3MG-01	0.0733	0.4111	-0.8304	-0.8264	-0.0717	-1.2595
blca_tcga_pub_2017	TCGA-CF-A3MH-01	0.8974	0.8566	-0.7941	-1.0726	-0.9595	-1.2522
blca_tcga_pub_2017	TCGA-CF-A3MI-01	0.623	-0.1615	-0.6351	-0.6629	-1.334	-0.8049
blca_tcga_pub_2017	TCGA-DK-A3IL-01	0.4413	2.9699	-0.1083	-1.0099	-1.0989	-0.2827
blca_tcga_pub_2017	TCGA-DK-A3IM-01	-1.1693	1.0459	-0.4778	0.6928	1.4908	-0.3428
blca_tcga_pub_2017	TCGA-DK-A3IN-01	-0.1201	-0.3716	1.6656	-0.4852	0.7815	0.0489
blca_tcga_pub_2017	TCGA-DK-A3IQ-01	0.1573	0.5983	2.8418	-0.8404	0.2895	3.874
blca_tcga_pub_2017	TCGA-DK-A3IT-01	0.7433	-1.3384	0.0275	-0.9671	0.3397	0.646
blca_tcga_pub_2017	TCGA-DK-A3IU-01	-0.8671	0.4812	1.5938	2.11	-0.5497	1.4514
blca_tcga_pub_2017	TCGA-FD-A3B5-01	1.0964	2.0343	0.3481	-0.1755	1.4024	0.5416
blca_tcga_pub_2017	TCGA-FD-A3B6-01	-1.3447	-0.3374	-0.7685	0.5679	0.6731	-0.0086
blca_tcga_pub_2017	TCGA-FD-A3B7-01	0.1103	-0.8986	0.5534	0.8243	0.4093	0.7606
blca_tcga_pub_2017	TCGA-FD-A3B8-01	0.2333	0.4037	2.1372	0.1	2.3402	3.228
blca_tcga_pub_2017	TCGA-G2-A3IB-01	0.1317	-0.0296	-0.9145	-0.005	0.5514	-0.9171
blca_tcga_pub_2017	TCGA-G2-A3IE-01	3.2819	-1.1872	-0.8775	-0.6566	-0.8624	-1.0907
blca_tcga_pub_2017	TCGA-GC-A3I6-01	-0.5714	-1.3263	-0.6274	0.6308	2.9336	-0.4209
blca_tcga_pub_2017	TCGA-GV-A3JW-01	1.2989	3.6631	-0.4766	-0.7373	0.9176	-1.3484
blca_tcga_pub_2017	TCGA-GV-A3JX-01	3.2267	1.4207	0.8546	-0.0111	1.007	0.1774
blca_tcga_pub_2017	TCGA-BL-A3JM-01	-0.3805	2.6893	4.8623	-0.1086	-0.2198	0.581
blca_tcga_pub_2017	TCGA-CF-A3MF-01	2.7343	0.1919	-0.7255	-0.7323	-1.6137	0.8882
blca_tcga_pub_2017	TCGA-CU-A3KJ-01	-0.2058	3.8625	8.2128	8.1041	1.8433	-0.098
blca_tcga_pub_2017	TCGA-DK-A2I4-01	-1.2831	0.2537	1.2143	0.1485	1.1374	1.6493
