track_name	track_type	TCGA-AA-3984	TCGA-AA-3715	TCGA-AA-A010	TCGA-AA-3821	TCGA-AG-3882	TCGA-A6-2677	TCGA-A6-2678	TCGA-AA-3556	TCGA-AA-3979	TCGA-AA-3866	TCGA-AA-A00Q	TCGA-AA-3521	TCGA-AA-A02F	TCGA-AA-3693	TCGA-AF-3913	TCGA-AA-3973	TCGA-AA-3544	TCGA-AG-3881	TCGA-AA-A004	TCGA-AA-3527	TCGA-AA-3966	TCGA-A6-2676	TCGA-AG-3883	TCGA-AA-3684	TCGA-AA-3672	TCGA-AA-3561	TCGA-AA-A00E	TCGA-AG-A011	TCGA-AA-3525	TCGA-AA-3522	TCGA-AA-3680	TCGA-AA-A00N	TCGA-AA-A00R	TCGA-AA-3877	TCGA-AA-3949	TCGA-A6-2674	TCGA-AA-3549	TCGA-AG-3587	TCGA-AF-3400	TCGA-AA-A02H	TCGA-A6-3807	TCGA-AG-3600	TCGA-AG-A002	TCGA-AA-3947	TCGA-AA-3845	TCGA-AA-3939	TCGA-AA-3524	TCGA-AA-3977	TCGA-AG-3726	TCGA-AG-3727	TCGA-AA-3710	TCGA-AA-3554	TCGA-AG-3601	TCGA-AA-3955	TCGA-AA-3534	TCGA-AA-3696	TCGA-AA-A01K	TCGA-AG-3575	TCGA-AG-3892	TCGA-AA-3831	TCGA-AA-A00U	TCGA-AG-4001	TCGA-AG-3878	TCGA-AG-4005	TCGA-AG-3894	TCGA-AA-A01D	TCGA-AA-A00O	TCGA-AA-A00D	TCGA-AG-3593	TCGA-AA-3930	TCGA-AA-3516	TCGA-AA-3864	TCGA-AA-3854	TCGA-AA-3870	TCGA-AA-A029	TCGA-AA-3673	TCGA-AG-A02X	TCGA-AA-3848	TCGA-AG-A014	TCGA-AG-3611	TCGA-AA-A01G	TCGA-AG-3605	TCGA-AA-A00L	TCGA-AG-A02G	TCGA-AA-A01Q	TCGA-AG-3594	TCGA-AA-3842	TCGA-AG-A01L	TCGA-AA-3555	TCGA-AA-A00K	TCGA-AA-3530	TCGA-AA-3818	TCGA-AG-A015	TCGA-AA-3664	TCGA-AA-A00J	TCGA-AG-3999	TCGA-AA-3681	TCGA-AA-3558	TCGA-AA-3532	TCGA-AA-A00A	TCGA-AG-3602	TCGA-A6-2683	TCGA-AA-3851	TCGA-AA-3994	TCGA-AG-3901	TCGA-AG-3887	TCGA-AA-A01I	TCGA-AG-A032	TCGA-AA-3560	TCGA-AG-3909	TCGA-AG-3586	TCGA-AG-A00H	TCGA-AA-A02W	TCGA-AF-2689	TCGA-AG-3896	TCGA-AA-A01F	TCGA-AA-3520	TCGA-AG-A00C	TCGA-AA-3975	TCGA-AA-3814	TCGA-AF-2691	TCGA-AG-3581	TCGA-AG-3902	TCGA-AG-4008	TCGA-AG-A008	TCGA-AA-3852	TCGA-AA-3837	TCGA-AG-3599	TCGA-AG-3583	TCGA-AA-3548	TCGA-AA-3695	TCGA-AA-3986	TCGA-AF-2692	TCGA-AG-A025	TCGA-AG-3580	TCGA-AA-3514	TCGA-AA-A024	TCGA-AA-3989	TCGA-AA-3833	TCGA-AA-3856	TCGA-AA-3869	TCGA-AA-3678	TCGA-AA-3692	TCGA-AA-A00Z	TCGA-A6-2672	TCGA-AY-4071	TCGA-AG-3609	TCGA-AA-3858	TCGA-AG-3584	TCGA-AA-3519	TCGA-AA-3542	TCGA-AA-3667	TCGA-AA-3666	TCGA-AA-3518	TCGA-AA-3529	TCGA-AY-4070	TCGA-AA-3679	TCGA-AA-3855	TCGA-AA-3562	TCGA-AA-3952	TCGA-AG-4015	TCGA-AG-3612	TCGA-AA-3553	TCGA-AG-3898	TCGA-AA-3972	TCGA-AA-3976	TCGA-AA-3860	TCGA-AG-3890	TCGA-AG-A016	TCGA-AA-3517	TCGA-AA-3956	TCGA-AA-3552	TCGA-AA-3531	TCGA-AG-3608	TCGA-AG-3893	TCGA-AA-A00W	TCGA-A6-2670	TCGA-AG-3598	TCGA-AA-3875	TCGA-AA-A02J	TCGA-AA-A00F	TCGA-AA-3526	TCGA-AA-3685	TCGA-AG-3578	TCGA-AA-3543	TCGA-AA-3812	TCGA-AA-3819	TCGA-AA-3846	TCGA-AA-3872	TCGA-AA-3688	TCGA-AA-A017	TCGA-AA-3538	TCGA-AG-3582	TCGA-AA-3971	TCGA-AG-3574
Profiled in mRNA Expression z-Scores relative to diploid samples (RNA-Seq RPKM)	CLINICAL	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes			Yes		Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes				Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
GSK3B	CNA																																																																																																																																																																																																			
SPHK1	CNA						Amplification																																																																																																																																																																																													
SOD1	CNA																																																																																																																																																																																																			
SOD2	CNA																														Amplification	Deep Deletion																																																																																																																																																																				
CASP3	CNA																																						Deep Deletion	Deep Deletion	Deep Deletion	Deep Deletion	Deep Deletion																																																																																																																																																									
XIAP	CNA																																																																																																																																																																																																			
BIRC3	CNA																															Deep Deletion																																																																																																																																																																				
BIRC2	CNA																															Deep Deletion																																																																																																																																																																				
CTNNB1	CNA																																																																																																																																																																																																			
CYCS	CNA																																																																																																																																																																																																			
PPP2CA	CNA																																																																																																																																																																																																			
PPP2CB	CNA																															Deep Deletion																																										Amplification	Amplification																																																																																																																									
MAP3K5	CNA																																																																																																																																																																																																			
MDM2	CNA																																																																																																																																																																																																			
KRAS	CNA																																																																																																Amplification																																																																																																			
HRAS	CNA																																																																																																																																																																																																			
SMAD7	CNA																																																																																										Deep Deletion				Amplification																																																																																																					
CDKN1A	CNA																																																																																																																																																																																																			
STAT3	CNA																											Amplification																					Amplification																																																																																																																																																			
JAK2	CNA																																							Amplification																																															Amplification																																																																																																													
MAP2K1	CNA																																																																																																																																																																																																			
MAP2K2	CNA																											Amplification																					Amplification																																																																																																																																																			
FOS	CNA																																																																																																																																																																																																			
AKT1	CNA																																																																																															Deep Deletion																																																																																																				
AKT2	CNA																											Amplification			Amplification																																																												Amplification																																																																																																									
MAPK8	CNA																											Deep Deletion																																																																																																																																																																								
IL6ST	CNA																																								Deep Deletion																																																																																																																																																											
CCND1	CNA																																																																	Deep Deletion																																																																																																																																		
BAX	CNA																											Amplification																					Amplification																																										Amplification																																																																																																									
BCL2	CNA																																																																																																												Deep Deletion																																																																																							
NFKB1	CNA																																																																																																																																																			Deep Deletion																																																
NFKB2	CNA																															Deep Deletion																									Deep Deletion																																																																																																																																											
RELA	CNA																																																																																																																																																																																																			
TP53	CNA																																																																																																																Deep Deletion																																																																																			
FADD	CNA																																																																																																																																																																																																			
SOCS1	CNA																																																																																																																																																																																																			
PIK3CA	CNA																																																																																																																																																																																																			
PIK3CB	CNA																																																					Amplification																																																																																																																																														
ATM	CNA																															Deep Deletion																																																																			Deep Deletion																																																																																																	
SMPD1	CNA																																																																																																																																																																																																			
SMPD2	CNA																																																			Deep Deletion																																																																																																																																																
SMPD4	CNA																																																																																																																																																																																																			
SMAD2	CNA																																																																																										Deep Deletion				Amplification																																																																																																					
SMAD3	CNA																																																																																																																																																							Deep Deletion																							Deep Deletion																					
SMAD4	CNA																																				Deep Deletion																																						Deep Deletion																Deep Deletion																					Deep Deletion																																																																Deep Deletion																				
PTGS2	CNA																																																																																																																																																																																																			
CFLAR	CNA																																																																																																																																																																																																			
IL6	CNA																																																																																																																																																																																																			
