,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,41.0,72.0,32.0,8.0,0.0,1.0,0.7560975609756098,0.9512195121951219,-1.0,0.0,1.0,2.0,1.0
1,1.0,41.0,73.0,40.0,0.0,0.0,1.0,0.7195121951219512,0.9207078887195121,-1.0,0.0,1.0,2.0,1.0
2,2.0,41.0,72.0,38.0,0.0,0.0,3.0,0.7682926829268293,0.9503620426829268,-1.0,0.0,1.0,2.0,1.0
3,3.0,41.0,73.0,32.0,7.0,0.0,2.0,0.6626016260162602,0.8747379954268293,-1.0,0.0,1.0,2.0,1.0
4,4.0,41.0,73.0,41.0,0.0,0.0,0.0,0.6524390243902439,0.9512195121951219,-1.0,0.0,1.0,2.0,1.0
5,5.0,41.0,72.0,41.0,0.0,0.0,0.0,0.7317073170731707,0.9512195121951219,-1.0,0.0,1.0,2.0,1.0
6,6.0,41.0,72.0,36.0,1.0,0.0,4.0,0.6951219512195121,0.9393340320121951,17.0,0.5,0.5,2.0,1.0
7,7.0,41.0,72.0,39.0,1.0,0.0,1.0,0.7317073170731707,0.9167063643292683,-1.0,0.0,1.0,2.0,1.0
8,8.0,41.0,72.0,35.0,5.0,0.0,1.0,0.6585365853658537,0.9072265625,-1.0,0.0,1.0,2.0,1.0
9,9.0,41.0,73.0,41.0,0.0,0.0,0.0,0.6056910569105691,0.8791444359756098,-1.0,0.0,1.0,2.0,1.0
10,10.0,41.0,72.0,34.0,4.0,0.0,3.0,0.6178861788617885,0.829125381097561,1.0,0.5,0.5,2.0,1.0
11,11.0,41.0,73.0,41.0,0.0,0.0,0.0,0.676829268292683,0.8415110518292683,-1.0,0.0,1.0,2.0,1.0
12,12.0,41.0,71.0,38.0,0.0,0.0,3.0,0.6676829268292683,0.9512195121951219,-1.0,0.0,1.0,2.0,1.0
13,13.0,41.0,72.0,40.0,0.0,0.0,1.0,0.7042682926829268,0.9408822408536586,-1.0,0.0,1.0,2.0,1.0
14,14.0,41.0,71.0,41.0,0.0,0.0,0.0,0.6951219512195121,0.9512195121951219,-1.0,0.0,1.0,2.0,1.0
15,15.0,41.0,71.0,34.0,3.0,0.0,4.0,0.7134146341463414,0.9512195121951219,11.5,0.5,0.5,2.0,1.0
16,16.0,41.0,71.0,34.0,5.0,0.0,2.0,0.6341463414634146,0.7793921493902439,-1.0,0.0,1.0,2.0,1.0
17,17.0,41.0,73.0,41.0,0.0,0.0,0.0,0.6585365853658537,0.9268054496951219,-1.0,0.0,1.0,2.0,1.0
18,18.0,41.0,72.0,38.0,1.0,0.0,2.0,0.6463414634146342,0.9024390243902439,2.0,0.5,0.5,2.0,1.0
19,19.0,41.0,71.0,41.0,0.0,0.0,0.0,0.7439024390243902,0.9512195121951219,-1.0,0.0,1.0,2.0,1.0
20,20.0,41.0,72.0,41.0,0.0,0.0,0.0,0.7560975609756098,0.9342844893292683,-1.0,0.0,1.0,2.0,1.0
21,21.0,41.0,73.0,41.0,0.0,0.0,0.0,0.774390243902439,0.8814548399390244,-1.0,0.0,1.0,2.0,1.0
22,22.0,41.0,71.0,39.0,0.0,0.0,2.0,0.7804878048780488,0.9512195121951219,-1.0,0.0,1.0,2.0,1.0
