node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
cFLIP	C0	False	False	True	True	False	0
AKT	C0	False	False	False	False	False	0
Mito	C0	False	False	False	False	False	0
NFkB	C0	False	False	False	False	False	0
RIP	C0	False	False	False	True	True	0
Mdm2	C0	False	False	True	True	False	0
APC	C0	False	False	True	False	False	0
A20	C0	False	False	True	True	True	0
TRAF	C0	False	False	True	True	True	0
BclX	C0	False	False	False	False	False	0
PIP3	C0	False	False	False	False	False	0
BAD	C0	False	False	True	True	False	0
Cas8	C0	False	False	True	False	False	0
Apaf1	C0	False	False	True	True	True	0
Cas3	C3	True	True	False	False	False	0
TNFR2	C0	False	False	False	True	True	0
JNK	C0	False	False	False	False	False	0
IAP	C1	True	True	False	False	False	0
PIP2	C0	False	False	True	True	True	0
Cas9	C0	False	False	True	True	False	0
TRADD	C0	False	False	False	False	False	0
TRAF2	C0	False	False	False	False	False	0
TNFR1	C0	False	False	False	True	False	0
DNADamageEvent	C3	True	True	True	False	False	0
GFR	C0	False	False	False	False	False	0
Cas7	C0	False	False	False	False	False	0
Cas12	C0	False	False	True	True	True	0
BID	C0	False	False	True	True	False	0
FADD	C0	False	False	True	True	False	0
MEKK1	C0	False	False	False	False	False	0
IkB	C0	False	False	False	True	False	0
IKK	C0	False	False	True	True	False	0
NIK	C0	False	False	False	False	False	0
JNKK	C0	False	False	True	False	False	0
PTEN	C0	False	False	False	True	False	0
Cas6	C1	False	True	False	False	False	0
PI3K	C0	False	False	True	True	True	0
p53	C0	False	False	False	False	False	0
