,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,67.0,128.0,67.0,0.0,0.0,0.0,0.7313432835820896,0.9253731343283582,-1.0,0.0,1.0,5.0,3.0
1,1.0,67.0,127.0,64.0,0.0,0.0,3.0,0.6791044776119403,0.9253731343283582,-1.0,0.0,1.0,5.0,3.0
2,2.0,67.0,128.0,53.0,7.0,0.0,7.0,0.7611940298507462,0.9253731343283582,-1.0,0.0,1.0,5.0,3.0
3,3.0,67.0,128.0,58.0,6.0,0.0,3.0,0.72636815920398,0.9069787779850746,64.0,0.16666666666666666,0.5,5.0,3.0
4,4.0,67.0,128.0,59.0,4.0,0.0,4.0,0.6902985074626866,0.9253731343283582,31.4,0.16666666666666666,0.5,5.0,3.0
5,5.0,67.0,129.0,67.0,0.0,0.0,0.0,0.5746268656716418,0.8987435867537313,-1.0,0.0,1.0,5.0,3.0
6,6.0,67.0,128.0,65.0,2.0,0.0,0.0,0.7014925373134329,0.9251545009328358,-1.0,0.0,1.0,5.0,3.0
7,7.0,67.0,125.0,56.0,5.0,0.0,6.0,0.6442786069651741,0.8848530783582089,33.2,0.16666666666666666,0.5,5.0,3.0
8,8.0,67.0,128.0,57.0,5.0,0.0,5.0,0.6865671641791045,0.8686742070895522,58.0,0.3333333333333333,0.0,5.0,3.0
9,9.0,67.0,126.0,32.0,20.0,3.0,12.0,0.6417910447761194,0.9004635027985075,121.4,0.16666666666666666,0.5,5.0,3.0
10,10.0,67.0,127.0,60.0,6.0,0.0,1.0,0.667910447761194,0.8931465718283582,-1.0,0.0,1.0,5.0,3.0
11,11.0,67.0,127.0,50.0,11.0,0.0,6.0,0.7238805970149254,0.8960471082089553,10.0,0.16666666666666666,0.5,5.0,3.0
12,12.0,67.0,124.0,37.0,19.0,0.0,11.0,0.7089552238805971,0.9253731343283582,89.0,0.3333333333333333,0.5,5.0,3.0
13,13.0,67.0,127.0,62.0,2.0,0.0,3.0,0.7238805970149254,0.9107246968283582,-1.0,0.0,1.0,5.0,3.0
14,14.0,67.0,128.0,58.0,6.0,0.0,3.0,0.6921641791044776,0.9253731343283582,-1.0,0.0,1.0,5.0,3.0
15,15.0,67.0,129.0,56.0,6.0,0.0,5.0,0.7145522388059702,0.9253731343283582,-1.0,0.0,1.0,5.0,3.0
16,16.0,67.0,128.0,58.0,2.0,0.0,7.0,0.7313432835820896,0.903436916977612,21.625,0.3333333333333333,0.5,5.0,3.0
17,17.0,67.0,129.0,52.0,9.0,0.0,6.0,0.664179104477612,0.872245219216418,45.4,0.16666666666666666,0.5,5.0,3.0
18,18.0,67.0,126.0,62.0,4.0,0.0,1.0,0.5839552238805971,0.8300489738805971,-1.0,0.0,1.0,5.0,3.0
19,19.0,67.0,127.0,49.0,12.0,0.0,6.0,0.6716417910447762,0.9253731343283582,66.6,0.5,0.25,5.0,3.0
20,20.0,67.0,126.0,49.0,13.0,0.0,5.0,0.6865671641791045,0.9103020055970149,-1.0,0.0,1.0,5.0,3.0
21,21.0,67.0,125.0,65.0,1.0,0.0,1.0,0.6865671641791045,0.9104477611940298,-1.0,0.0,1.0,5.0,3.0
22,22.0,67.0,125.0,67.0,0.0,0.0,0.0,0.6417910447761194,0.8975046641791045,-1.0,0.0,1.0,5.0,3.0
23,23.0,67.0,128.0,57.0,4.0,3.0,3.0,0.7089552238805971,0.9253731343283582,-1.0,0.0,1.0,5.0,3.0
24,24.0,67.0,126.0,66.0,0.0,0.0,1.0,0.5652985074626866,0.9105206389925373,-1.0,0.0,1.0,5.0,3.0
25,25.0,67.0,128.0,57.0,7.0,0.0,3.0,0.7238805970149254,0.8986707089552238,70.6,0.16666666666666666,0.5,5.0,3.0
26,26.0,67.0,124.0,65.0,2.0,0.0,0.0,0.6529850746268657,0.9040053638059702,-1.0,0.0,1.0,5.0,3.0
27,27.0,67.0,129.0,51.0,5.0,0.0,11.0,0.746268656716418,0.9179833255597015,101.0,0.08333333333333333,0.75,5.0,3.0
