node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
AKT	C3	True	False	False	False	False	0
ERBB1	C1	False	False	True	True	True	0
p70S6K	C0	False	False	False	False	False	0
ERBB2	C1	False	False	True	False	False	0
PRAS	C0	False	False	True	True	True	0
Nfkb	C0	False	False	False	False	False	0
ERBB3	C1	False	False	True	True	True	0
RPS6	C0	False	False	True	False	False	0
p38	C1	True	False	True	True	True	0
ERK1_2	C0	False	False	False	False	False	0
CyclinD1	C1	True	True	True	False	False	0
GSK3a_b	C3	True	False	True	False	False	0
cRAF	C0	False	False	False	False	False	0
TSC2	C0	False	False	True	True	True	0
CyclinB1	C1	True	True	False	True	True	0
PTEN	C1	True	True	False	False	False	0
RB	C1	True	True	True	True	True	0
p53	C3	True	False	True	False	False	0
