,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,16.0,33.0,4.0,4.0,0.0,8.0,0.71875,0.6727294921875,4.4,0.3125,0.375,5.0,2.0
1,1.0,16.0,30.0,7.0,5.0,0.0,4.0,0.6875,0.67938232421875,5.75,1.0,0.0,5.0,2.0
2,2.0,16.0,29.0,13.0,2.0,0.0,1.0,0.671875,0.6875,-1.0,0.0,1.0,5.0,2.0
3,3.0,16.0,32.0,13.0,2.0,0.0,1.0,0.84375,0.656982421875,1.6666666666666667,0.5,0.0,5.0,2.0
4,4.0,16.0,35.0,9.0,5.0,0.0,2.0,0.71875,0.625244140625,3.8,0.5,0.0,5.0,2.0
5,5.0,16.0,33.0,5.0,6.0,0.0,5.0,0.6875,0.6630859375,6.2,0.40625,0.1875,5.0,2.0
6,6.0,16.0,33.0,8.0,3.0,0.0,5.0,0.53125,0.608642578125,1.8235294117647058,0.8125,0.0,5.0,2.0
7,7.0,16.0,30.0,8.0,5.0,0.0,3.0,0.53125,0.6275634765625,2.0,0.5,0.0,5.0,2.0
8,8.0,16.0,34.0,5.0,6.0,0.0,5.0,0.65625,0.62713623046875,5.6,0.15625,0.6875,5.0,2.0
9,9.0,16.0,32.0,10.0,3.0,0.0,3.0,0.75,0.658203125,5.8,0.375,0.25,5.0,2.0
10,10.0,16.0,33.0,7.0,4.0,0.0,5.0,0.5,0.630615234375,4.033898305084746,0.9375,0.0,5.0,2.0
11,11.0,16.0,32.0,8.0,3.0,0.0,5.0,0.6484375,0.5889892578125,3.6,0.375,0.25,5.0,2.0
12,12.0,16.0,32.0,6.0,5.0,0.0,5.0,0.7421875,0.655517578125,3.6,0.421875,0.15625,5.0,2.0
13,13.0,16.0,32.0,2.0,6.0,0.0,8.0,0.625,0.6875,4.230769230769231,0.8125,0.0625,5.0,2.0
14,14.0,16.0,31.0,6.0,5.0,0.0,5.0,0.65625,0.63653564453125,2.8,0.25,0.5,5.0,2.0
15,15.0,16.0,31.0,7.0,3.0,0.0,6.0,0.53125,0.61346435546875,2.111111111111111,0.625,0.375,5.0,2.0
16,16.0,16.0,31.0,4.0,8.0,0.0,4.0,0.5625,0.66046142578125,3.2,0.5,0.0,5.0,2.0
17,17.0,16.0,32.0,6.0,5.0,0.0,5.0,0.609375,0.67889404296875,4.2,0.375,0.25,5.0,2.0
18,18.0,16.0,33.0,7.0,6.0,0.0,3.0,0.71875,0.67132568359375,5.0,0.375,0.25,5.0,2.0
19,19.0,16.0,31.0,3.0,5.0,0.0,8.0,0.65625,0.6875,8.6,0.46875,0.0625,5.0,2.0
20,20.0,16.0,34.0,8.0,3.0,0.0,5.0,0.6875,0.6474609375,4.875,1.0,0.0,5.0,2.0
