,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output
0,bortezomib,61,67,126,56,8,0,3,0.6567164179104478,0.8921408582089553,1.0,0.0,-1,5.0,3.0
1,bortezomib,27,67,128,65,0,0,2,0.7313432835820896,0.9253731343283582,1.0,0.0,-1,5.0,3.0
2,bortezomib,60,67,128,55,9,0,3,0.63681592039801,0.8767199160447762,0.5,0.16666666666666666,32.0,5.0,3.0
3,bortezomib,26,67,127,50,14,1,2,0.7388059701492538,0.9253731343283582,1.0,0.0,-1,5.0,3.0
4,bortezomib,25,67,128,53,10,0,4,0.6753731343283582,0.8876078591417911,1.0,0.0,-1,5.0,3.0
5,bortezomib,59,67,125,50,9,0,8,0.6492537313432836,0.8783232276119403,0.5,0.16666666666666666,25.4,5.0,3.0
6,bortezomib,24,67,129,52,13,0,2,0.664179104477612,0.8889196595149254,1.0,0.0,-1,5.0,3.0
7,bortezomib,58,67,126,57,8,0,2,0.7611940298507462,0.9253731343283582,1.0,0.0,-1,5.0,3.0
8,bortezomib,23,67,127,55,7,0,5,0.6791044776119403,0.8240292677238806,0.5,0.16666666666666666,45.6,5.0,3.0
9,bortezomib,57,67,127,57,8,0,2,0.7164179104477612,0.9253731343283582,1.0,0.0,-1,5.0,3.0
10,bortezomib,28,67,126,62,4,0,1,0.7014925373134329,0.8880451259328358,1.0,0.0,-1,5.0,3.0
11,bortezomib,56,67,127,66,0,0,1,0.7238805970149254,0.9253731343283582,1.0,0.0,-1,5.0,3.0
12,bortezomib,55,67,128,60,2,0,5,0.6940298507462687,0.9253731343283582,1.0,0.0,-1,5.0,3.0
13,bortezomib,20,67,127,52,6,0,9,0.7313432835820896,0.9253731343283582,0.5,0.16666666666666666,19.2,5.0,3.0
14,bortezomib,54,67,129,61,4,0,2,0.6750621890547265,0.9213794309701493,1.0,0.0,-1,5.0,3.0
15,bortezomib,19,67,128,60,5,0,2,0.7686567164179104,0.9253731343283582,1.0,0.0,-1,5.0,3.0
16,bortezomib,53,67,125,65,0,0,2,0.585820895522388,0.8693592583955224,1.0,0.0,-1,5.0,3.0
