,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,70.0,146.0,69.0,1.0,0.0,0.0,0.7357142857142858,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
1,1.0,70.0,152.0,63.0,6.0,0.0,1.0,0.6857142857142857,0.9190569196428572,-1.0,0.0,1.0,1.0,2.0
2,2.0,70.0,152.0,68.0,1.0,0.0,1.0,0.7357142857142858,0.9684709821428571,-1.0,0.0,1.0,1.0,2.0
3,3.0,70.0,153.0,61.0,8.0,0.0,1.0,0.5969387755102041,0.9856305803571429,-1.0,0.0,1.0,1.0,2.0
4,4.0,70.0,149.0,65.0,4.0,0.0,1.0,0.7035714285714286,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
5,5.0,70.0,151.0,64.0,2.0,0.0,4.0,0.6928571428571428,0.9083984375,1.0,0.25,0.5,1.0,2.0
6,6.0,70.0,152.0,66.0,3.0,0.0,1.0,0.65,0.9438616071428572,-1.0,0.0,1.0,1.0,2.0
7,7.0,70.0,152.0,50.0,15.0,5.0,0.0,0.7571428571428571,0.9714285714285714,-1.0,0.0,1.0,1.0,2.0
8,8.0,70.0,152.0,59.0,10.0,0.0,1.0,0.7,0.9696010044642858,-1.0,0.0,1.0,1.0,2.0
9,9.0,70.0,153.0,42.0,26.0,2.0,0.0,0.7,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
10,10.0,70.0,148.0,61.0,8.0,0.0,1.0,0.7142857142857143,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
11,11.0,70.0,150.0,65.0,3.0,2.0,0.0,0.6428571428571429,0.9716099330357143,-1.0,0.0,1.0,1.0,2.0
12,12.0,70.0,151.0,69.0,1.0,0.0,0.0,0.6714285714285714,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
13,13.0,70.0,152.0,63.0,7.0,0.0,0.0,0.8,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
14,14.0,70.0,151.0,62.0,7.0,0.0,1.0,0.6074404761904763,0.90107421875,-1.0,0.0,1.0,1.0,2.0
15,15.0,70.0,152.0,62.0,6.0,0.0,2.0,0.6071428571428571,0.9357282366071429,-1.0,0.0,1.0,1.0,2.0
16,16.0,70.0,147.0,66.0,4.0,0.0,0.0,0.725,0.9322265625,-1.0,0.0,1.0,1.0,2.0
17,17.0,70.0,152.0,68.0,1.0,0.0,1.0,0.7285714285714285,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
18,18.0,70.0,150.0,54.0,13.0,0.0,3.0,0.6782183908045978,0.9531110491071428,1.0,0.25,0.5,1.0,2.0
19,19.0,70.0,153.0,66.0,2.0,0.0,2.0,0.6857142857142857,0.9753766741071429,-1.0,0.0,1.0,1.0,2.0
20,20.0,70.0,152.0,55.0,11.0,2.0,2.0,0.7071428571428572,0.9531529017857143,-1.0,0.0,1.0,1.0,2.0
21,21.0,70.0,152.0,65.0,5.0,0.0,0.0,0.7428571428571429,0.9594308035714286,-1.0,0.0,1.0,1.0,2.0
22,22.0,70.0,152.0,69.0,1.0,0.0,0.0,0.7214285714285714,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
23,23.0,70.0,152.0,65.0,4.0,0.0,1.0,0.7071428571428572,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
24,24.0,70.0,151.0,49.0,20.0,0.0,1.0,0.6690476190476191,0.9577287946428571,-1.0,0.0,1.0,1.0,2.0
25,25.0,70.0,150.0,63.0,6.0,0.0,1.0,0.5959183673469387,0.9542131696428572,-1.0,0.0,1.0,1.0,2.0
26,26.0,70.0,153.0,63.0,6.0,0.0,1.0,0.7357142857142858,0.9857142857142858,-1.0,0.0,1.0,1.0,2.0
27,27.0,70.0,151.0,61.0,7.0,0.0,2.0,0.7571428571428571,0.978125,-1.0,0.0,1.0,1.0,2.0
28,28.0,70.0,150.0,57.0,11.0,0.0,2.0,0.6497691197691199,0.9276506696428571,-1.0,0.0,1.0,1.0,2.0
