,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,28.0,42.0,24.0,1.0,0.0,3.0,0.7678571428571429,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
1,1.0,28.0,43.0,25.0,0.0,0.0,3.0,0.6428571428571429,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
2,2.0,28.0,43.0,21.0,4.0,0.0,3.0,0.7410714285714286,0.8399135044642857,1.0,0.16666666666666666,0.5,3.0,3.0
3,3.0,28.0,43.0,23.0,4.0,0.0,1.0,0.6964285714285714,0.8716169084821429,-1.0,0.0,1.0,3.0,3.0
4,4.0,28.0,42.0,24.0,1.0,0.0,3.0,0.6875,0.8460867745535714,-1.0,0.0,1.0,3.0,3.0
5,5.0,28.0,44.0,20.0,5.0,0.0,3.0,0.5714285714285714,0.8310198102678571,-1.0,0.0,1.0,3.0,3.0
6,6.0,28.0,44.0,25.0,0.0,0.0,3.0,0.7857142857142857,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
7,7.0,28.0,42.0,26.0,0.0,0.0,2.0,0.7142857142857143,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
8,8.0,28.0,43.0,28.0,0.0,0.0,0.0,0.7142857142857143,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
9,9.0,28.0,44.0,17.0,5.0,1.0,5.0,0.5245535714285714,0.6993582589285714,2.3333333333333335,0.16666666666666666,0.5,3.0,3.0
10,10.0,28.0,43.0,28.0,0.0,0.0,0.0,0.7142857142857143,0.7897600446428571,-1.0,0.0,1.0,3.0,3.0
11,11.0,28.0,42.0,22.0,3.0,0.0,3.0,0.6875,0.8928571428571429,1.6666666666666667,0.16666666666666666,0.5,3.0,3.0
12,12.0,28.0,44.0,18.0,9.0,0.0,1.0,0.6785714285714286,0.8314034598214286,-1.0,0.0,1.0,3.0,3.0
13,13.0,28.0,43.0,24.0,3.0,0.0,1.0,0.6785714285714286,0.8579450334821429,-1.0,0.0,1.0,3.0,3.0
14,14.0,28.0,44.0,18.0,3.0,0.0,7.0,0.7321428571428571,0.8928571428571429,8.666666666666666,0.16666666666666666,0.5,3.0,3.0
15,15.0,28.0,43.0,20.0,3.0,2.0,3.0,0.5714285714285714,0.8324846540178571,-1.0,0.0,1.0,3.0,3.0
16,16.0,28.0,44.0,25.0,1.0,0.0,2.0,0.7857142857142857,0.8928571428571429,1.0,0.3333333333333333,0.0,3.0,3.0
17,17.0,28.0,42.0,27.0,0.0,0.0,1.0,0.7142857142857143,0.8798479352678571,-1.0,0.0,1.0,3.0,3.0
18,18.0,28.0,44.0,23.0,0.0,0.0,5.0,0.7321428571428571,0.8527134486607143,-1.0,0.0,1.0,3.0,3.0
19,19.0,28.0,43.0,27.0,0.0,0.0,1.0,0.6785714285714286,0.8336704799107143,-1.0,0.0,1.0,3.0,3.0
20,20.0,28.0,43.0,20.0,4.0,0.0,4.0,0.7023809523809524,0.7496512276785714,-1.0,0.0,1.0,3.0,3.0
21,21.0,28.0,43.0,19.0,5.0,0.0,4.0,0.7232142857142857,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
22,22.0,28.0,44.0,23.0,3.0,0.0,2.0,0.6875,0.8753487723214286,-1.0,0.0,1.0,3.0,3.0
23,23.0,28.0,43.0,26.0,0.0,0.0,2.0,0.7098214285714286,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
24,24.0,28.0,43.0,27.0,0.0,0.0,1.0,0.625,0.7613699776785714,-1.0,0.0,1.0,3.0,3.0
25,25.0,28.0,43.0,22.0,3.0,0.0,3.0,0.8035714285714286,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
26,26.0,28.0,43.0,22.0,2.0,0.0,4.0,0.7142857142857143,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
27,27.0,28.0,41.0,21.0,2.0,0.0,5.0,0.7678571428571429,0.8928571428571429,1.0,0.3333333333333333,0.0,3.0,3.0
28,28.0,28.0,44.0,17.0,5.0,0.0,6.0,0.7321428571428571,0.8928571428571429,4.0,0.25,0.25,3.0,3.0
29,29.0,28.0,41.0,26.0,1.0,0.0,1.0,0.75,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
30,30.0,28.0,43.0,24.0,3.0,0.0,1.0,0.7678571428571429,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
31,31.0,28.0,44.0,19.0,4.0,0.0,5.0,0.7678571428571429,0.8928571428571429,3.6666666666666665,0.16666666666666666,0.5,3.0,3.0
32,32.0,28.0,44.0,25.0,1.0,0.0,2.0,0.75,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
33,33.0,28.0,44.0,26.0,0.0,0.0,2.0,0.8035714285714286,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
34,34.0,28.0,42.0,24.0,0.0,0.0,4.0,0.75,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
35,35.0,28.0,43.0,27.0,0.0,0.0,1.0,0.6607142857142857,0.7442452566964286,-1.0,0.0,1.0,3.0,3.0
36,36.0,28.0,42.0,24.0,0.0,0.0,4.0,0.6696428571428571,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
37,37.0,28.0,43.0,21.0,3.0,0.0,4.0,0.7857142857142857,0.8928571428571429,1.0,0.3333333333333333,0.0,3.0,3.0
38,38.0,28.0,43.0,23.0,3.0,0.0,2.0,0.7321428571428571,0.8928571428571429,1.0,0.16666666666666666,0.5,3.0,3.0
39,39.0,28.0,42.0,25.0,0.0,0.0,3.0,0.6696428571428571,0.8214285714285714,-1.0,0.0,1.0,3.0,3.0
40,40.0,28.0,43.0,22.0,1.0,0.0,5.0,0.6071428571428571,0.8834054129464286,8.0,0.3333333333333333,0.0,3.0,3.0
41,41.0,28.0,44.0,27.0,0.0,0.0,1.0,0.6964285714285714,0.8798130580357143,-1.0,0.0,1.0,3.0,3.0
42,42.0,28.0,43.0,17.0,10.0,0.0,1.0,0.7678571428571429,0.8547014508928571,-1.0,0.0,1.0,3.0,3.0
43,43.0,28.0,43.0,28.0,0.0,0.0,0.0,0.75,0.8928571428571429,-1.0,0.0,1.0,3.0,3.0
