node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
cFLIP	C1	False	True	True	True	True	0
XIAP	C1	True	True	False	False	False	0
NFkB	C3	True	True	False	False	False	0
DISC-FAS	C3	False	False	False	False	False	0
RIP1ub	C3	False	True	False	False	False	0
apoptosome	C3	False	True	True	True	False	0
RIP1	C3	False	True	False	False	False	0
MOMP	C2	True	True	False	False	False	0
TNFR	C3	False	False	False	False	False	0
CASP8	C1	True	True	False	False	False	0
DISC-TNF	C0	False	False	True	True	True	0
ROS	C3	False	True	True	True	False	0
BCL2	C1	True	True	True	True	True	0
BAX	C1	True	True	True	False	False	0
ATP	C3	True	True	True	False	False	0
MPT	C3	True	True	False	False	False	0
CASP3	C3	True	True	False	False	False	0
IKK	C3	False	True	False	False	False	0
SMAC	C1	True	True	True	False	False	0
cIAP	C1	False	True	True	True	False	0
RIP1k	C1	False	True	False	False	False	0
Cyt_c	C1	False	True	True	True	True	0
