node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
AKT	C1	True	True	False	False	False	0
cJUN	C1	True	True	True	False	False	0
ERBB1	C3	True	False	False	False	False	0
p70S6K	C1	True	True	False	False	False	0
ERBB2	C0	False	False	True	False	False	0
PRAS	C0	False	False	True	True	True	0
ERBB3	C1	False	False	False	False	False	0
p38	C1	False	True	True	False	False	0
RPS6	C1	False	True	False	False	False	0
GSKa_b	C1	False	True	True	False	False	0
ERK1_2	C3	True	False	False	False	False	0
cRAF	C1	True	True	False	False	False	0
TSC2	C0	False	False	False	False	False	0
CyclinB1	C1	True	True	True	True	True	0
PTEN	C1	False	True	True	True	True	0
RB	C1	False	True	True	True	True	0
p53	C1	False	True	False	False	False	0
