,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,16.0,32.0,4.0,7.0,0.0,5.0,0.75,0.6875,15.0,0.25,0.75,5.0,1.0
1,1.0,16.0,35.0,6.0,6.0,0.0,4.0,0.59375,0.64324951171875,6.8,0.8125,0.1875,5.0,1.0
2,2.0,16.0,33.0,16.0,0.0,0.0,0.0,0.640625,0.6434326171875,-1.0,0.0,1.0,5.0,1.0
3,3.0,16.0,31.0,3.0,5.0,0.0,8.0,0.53125,0.5538330078125,1.6,0.96875,0.03125,5.0,1.0
4,4.0,16.0,33.0,4.0,6.0,0.0,6.0,0.609375,0.6875,2.6,0.375,0.625,5.0,1.0
5,5.0,16.0,34.0,5.0,6.0,0.0,5.0,0.640625,0.6875,3.4,0.125,0.875,5.0,1.0
6,6.0,16.0,34.0,9.0,4.0,0.0,3.0,0.546875,0.61114501953125,3.0,0.75,0.25,5.0,1.0
7,7.0,16.0,33.0,10.0,3.0,0.0,3.0,0.54375,0.65576171875,3.4,0.625,0.375,5.0,1.0
8,8.0,16.0,34.0,14.0,2.0,0.0,0.0,0.53125,0.63006591796875,-1.0,0.0,1.0,5.0,1.0
9,9.0,16.0,32.0,1.0,7.0,0.0,8.0,0.5625,0.62811279296875,6.4,0.90625,0.09375,5.0,1.0
10,10.0,16.0,33.0,3.0,6.0,0.0,7.0,0.59375,0.6875,8.2,0.8125,0.1875,5.0,1.0
11,11.0,16.0,33.0,15.0,0.0,0.0,1.0,0.3203125,0.6749267578125,-1.0,0.0,1.0,5.0,1.0
12,12.0,16.0,33.0,8.0,3.0,0.0,5.0,0.71875,0.6663818359375,6.6,0.75,0.25,5.0,1.0
13,13.0,16.0,33.0,15.0,0.0,0.0,1.0,0.65625,0.63873291015625,-1.0,0.0,1.0,5.0,1.0
14,14.0,16.0,32.0,16.0,0.0,0.0,0.0,0.65625,0.60943603515625,-1.0,0.0,1.0,5.0,1.0
15,15.0,16.0,31.0,10.0,4.0,0.0,2.0,0.75,0.6527099609375,4.6,1.0,0.0,5.0,1.0
16,16.0,16.0,31.0,10.0,4.0,0.0,2.0,0.65625,0.669921875,7.4,0.5,0.5,5.0,1.0
17,17.0,16.0,30.0,15.0,0.0,0.0,1.0,0.78125,0.5986328125,-1.0,0.0,1.0,5.0,1.0
18,18.0,16.0,32.0,4.0,7.0,0.0,5.0,0.5546875,0.5985107421875,4.6,0.25,0.75,5.0,1.0
19,19.0,16.0,35.0,7.0,5.0,0.0,4.0,0.75,0.6875,8.0,0.625,0.375,5.0,1.0
20,20.0,16.0,33.0,14.0,1.0,0.0,1.0,0.40625,0.58819580078125,-1.0,0.0,1.0,5.0,1.0
21,21.0,16.0,29.0,16.0,0.0,0.0,0.0,0.59375,0.6259765625,-1.0,0.0,1.0,5.0,1.0
22,22.0,16.0,33.0,7.0,6.0,0.0,3.0,0.5,0.61505126953125,4.2,0.75,0.25,5.0,1.0
23,23.0,16.0,31.0,4.0,4.0,0.0,8.0,0.59375,0.625,5.0,0.375,0.625,5.0,1.0
24,24.0,16.0,33.0,14.0,1.0,0.0,1.0,0.609375,0.66241455078125,-1.0,0.0,1.0,5.0,1.0
25,25.0,16.0,33.0,16.0,0.0,0.0,0.0,0.5625,0.6102294921875,-1.0,0.0,1.0,5.0,1.0
26,26.0,16.0,30.0,12.0,1.0,0.0,3.0,0.59375,0.6875,3.4,0.5,0.5,5.0,1.0
27,27.0,16.0,31.0,4.0,4.0,0.0,8.0,0.71875,0.65679931640625,3.6,0.9375,0.0625,5.0,1.0
28,28.0,16.0,32.0,15.0,0.0,0.0,1.0,0.46875,0.5966796875,-1.0,0.0,1.0,5.0,1.0
29,29.0,16.0,33.0,8.0,3.0,0.0,5.0,0.6875,0.59844970703125,5.6,0.5,0.5,5.0,1.0
