,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,68.0,103.0,57.0,6.0,2.0,3.0,0.7132352941176471,0.8849092371323529,-1.0,0.0,1.0,6.0,5.0
1,1.0,68.0,103.0,39.0,15.0,0.0,14.0,0.7628676470588235,0.9117647058823529,5.0,0.175,0.125,6.0,5.0
2,2.0,68.0,99.0,58.0,8.0,0.0,2.0,0.7426470588235294,0.9047564338235294,1.0,0.2,0.0,6.0,5.0
3,3.0,68.0,102.0,63.0,0.0,0.0,5.0,0.7242647058823529,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
4,4.0,68.0,101.0,59.0,4.0,0.0,5.0,0.7352941176470589,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
5,5.0,68.0,102.0,46.0,11.0,3.0,8.0,0.7647058823529411,0.9117647058823529,10.777777777777779,0.2,0.25,6.0,5.0
6,6.0,68.0,102.0,51.0,15.0,0.0,2.0,0.7867647058823529,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
7,7.0,68.0,100.0,56.0,8.0,0.0,4.0,0.7610294117647058,0.9117647058823529,3.0,0.1,0.5,6.0,5.0
8,8.0,68.0,102.0,55.0,4.0,0.0,9.0,0.75,0.8933823529411765,8.666666666666666,0.15,0.25,6.0,5.0
9,9.0,68.0,103.0,43.0,11.0,1.0,13.0,0.6838235294117647,0.8651051240808824,9.722222222222221,0.15,0.5,6.0,5.0
10,10.0,68.0,100.0,59.0,4.0,0.0,5.0,0.7058823529411765,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
11,11.0,68.0,103.0,56.0,6.0,2.0,4.0,0.7205882352941176,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
12,12.0,68.0,102.0,58.0,4.0,0.0,6.0,0.6875,0.9117647058823529,15.0,0.1,0.5,6.0,5.0
13,13.0,68.0,102.0,67.0,1.0,0.0,0.0,0.7867647058823529,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
14,14.0,68.0,102.0,58.0,6.0,0.0,4.0,0.7867647058823529,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
15,15.0,68.0,101.0,42.0,19.0,4.0,3.0,0.75,0.8800695082720589,-1.0,0.0,1.0,6.0,5.0
16,16.0,68.0,102.0,58.0,7.0,0.0,3.0,0.7132352941176471,0.8999167049632353,-1.0,0.0,1.0,6.0,5.0
17,17.0,68.0,103.0,63.0,2.0,0.0,3.0,0.7463235294117647,0.9117647058823529,1.0,0.2,0.0,6.0,5.0
18,18.0,68.0,103.0,52.0,8.0,0.0,8.0,0.6985294117647058,0.893310546875,1.0,0.1,0.5,6.0,5.0
19,19.0,68.0,102.0,57.0,5.0,0.0,6.0,0.7205882352941176,0.9117647058823529,5.0,0.1,0.5,6.0,5.0
20,20.0,68.0,103.0,53.0,11.0,0.0,4.0,0.6727941176470589,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
21,21.0,68.0,103.0,41.0,14.0,0.0,13.0,0.75,0.900390625,11.4,0.1,0.625,6.0,5.0
22,22.0,68.0,101.0,64.0,4.0,0.0,0.0,0.7058823529411765,0.8823529411764706,-1.0,0.0,1.0,6.0,5.0
23,23.0,68.0,102.0,47.0,12.0,0.0,9.0,0.75,0.9117647058823529,3.8,0.2,0.5,6.0,5.0
24,24.0,68.0,102.0,53.0,12.0,0.0,3.0,0.7205882352941176,0.8970588235294118,-1.0,0.0,1.0,6.0,5.0
25,25.0,68.0,102.0,59.0,1.0,0.0,8.0,0.7573529411764706,0.9117647058823529,12.2,0.1,0.5,6.0,5.0
26,26.0,68.0,101.0,59.0,7.0,0.0,2.0,0.7352941176470589,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
27,27.0,68.0,102.0,55.0,7.0,0.0,6.0,0.6213235294117647,0.9058478860294118,9.0,0.1,0.5,6.0,5.0
28,28.0,68.0,101.0,58.0,7.0,0.0,3.0,0.7169117647058824,0.8863884420955882,-1.0,0.0,1.0,6.0,5.0
29,29.0,68.0,103.0,61.0,5.0,0.0,2.0,0.7941176470588235,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
30,30.0,68.0,102.0,54.0,9.0,0.0,5.0,0.7450980392156863,0.8599925321691176,5.666666666666667,0.1,0.5,6.0,5.0
31,31.0,68.0,101.0,44.0,12.0,0.0,12.0,0.7058823529411765,0.9117647058823529,4.8,0.1,0.5,6.0,5.0
32,32.0,68.0,103.0,60.0,8.0,0.0,0.0,0.6838235294117647,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
33,33.0,68.0,102.0,54.0,9.0,0.0,5.0,0.7058823529411765,0.9117647058823529,2.7777777777777777,0.25,0.0,6.0,5.0
34,34.0,68.0,101.0,56.0,7.0,0.0,5.0,0.7794117647058824,0.9117647058823529,1.8,0.1,0.5,6.0,5.0
35,35.0,68.0,102.0,48.0,10.0,2.0,8.0,0.7426470588235294,0.9117647058823529,3.8333333333333335,0.1,0.5,6.0,5.0
36,36.0,68.0,101.0,50.0,7.0,0.0,11.0,0.6764705882352942,0.8554256663602942,3.8125,0.3,0.125,6.0,5.0
37,37.0,68.0,102.0,38.0,14.0,0.0,16.0,0.6875,0.9117647058823529,6.375,0.2,0.5,6.0,5.0
38,38.0,68.0,102.0,64.0,1.0,0.0,3.0,0.7426470588235294,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
39,39.0,68.0,103.0,52.0,12.0,0.0,4.0,0.7450980392156863,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
40,40.0,68.0,101.0,57.0,5.0,0.0,6.0,0.6936274509803921,0.9017118566176471,3.3,0.4,0.0,6.0,5.0
41,41.0,68.0,102.0,58.0,4.0,0.0,6.0,0.7132352941176471,0.8412080652573529,4.833333333333333,0.05,0.75,6.0,5.0
42,42.0,68.0,102.0,52.0,11.0,0.0,5.0,0.7095588235294118,0.8895048253676471,-1.0,0.0,1.0,6.0,5.0
43,43.0,68.0,102.0,54.0,8.0,1.0,5.0,0.6299019607843137,0.8407628676470589,6.0,0.1,0.5,6.0,5.0
44,44.0,68.0,101.0,62.0,3.0,0.0,3.0,0.7205882352941176,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
45,45.0,68.0,102.0,52.0,5.0,0.0,11.0,0.7426470588235294,0.9117647058823529,2.75,0.2,0.0,6.0,5.0
46,46.0,68.0,102.0,50.0,15.0,2.0,1.0,0.6617647058823529,0.8897346047794118,-1.0,0.0,1.0,6.0,5.0
47,47.0,68.0,103.0,64.0,3.0,0.0,1.0,0.75,0.8676326976102942,-1.0,0.0,1.0,6.0,5.0
48,48.0,68.0,102.0,55.0,9.0,0.0,4.0,0.7205882352941176,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
49,49.0,68.0,102.0,56.0,9.0,0.0,3.0,0.7205882352941176,0.9117647058823529,-1.0,0.0,1.0,6.0,5.0
