,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,20.0,49.0,15.0,3.0,0.0,2.0,0.775,0.882470703125,-1.0,0.0,1.0,1.0,1.0
1,1.0,20.0,50.0,16.0,1.0,0.0,3.0,0.4325,0.79404296875,5.0,0.5,0.5,1.0,1.0
2,2.0,20.0,47.0,14.0,4.0,0.0,2.0,0.4875,0.948583984375,5.0,0.5,0.5,1.0,1.0
3,3.0,20.0,49.0,13.0,4.0,0.0,3.0,0.825,0.95,22.0,0.5,0.5,1.0,1.0
4,4.0,20.0,47.0,14.0,6.0,0.0,0.0,0.5525,0.9345703125,-1.0,0.0,1.0,1.0,1.0
5,5.0,20.0,47.0,9.0,7.0,1.0,3.0,0.44375,0.759228515625,7.0,0.5,0.5,1.0,1.0
6,6.0,20.0,50.0,18.0,1.0,0.0,1.0,0.5875,0.834423828125,-1.0,0.0,1.0,1.0,1.0
7,7.0,20.0,45.0,15.0,2.0,0.0,3.0,0.5912499999999999,0.84873046875,-1.0,0.0,1.0,1.0,1.0
8,8.0,20.0,46.0,14.0,1.0,0.0,5.0,0.725,0.95,1.0,0.5,0.5,1.0,1.0
9,9.0,20.0,50.0,20.0,0.0,0.0,0.0,0.775,0.95,-1.0,0.0,1.0,1.0,1.0
10,10.0,20.0,49.0,14.0,4.0,0.0,2.0,0.5,0.870556640625,-1.0,0.0,1.0,1.0,1.0
11,11.0,20.0,51.0,17.0,3.0,0.0,0.0,0.4291666666666666,0.794580078125,-1.0,0.0,1.0,1.0,1.0
12,12.0,20.0,50.0,10.0,7.0,0.0,3.0,0.4979166666666666,0.86162109375,6.0,0.5,0.5,1.0,1.0
13,13.0,20.0,50.0,10.0,7.0,2.0,1.0,0.575,0.927880859375,-1.0,0.0,1.0,1.0,1.0
14,14.0,20.0,48.0,18.0,2.0,0.0,0.0,0.5375,0.77841796875,-1.0,0.0,1.0,1.0,1.0
15,15.0,20.0,49.0,11.0,6.0,3.0,0.0,0.5800000000000001,0.890966796875,-1.0,0.0,1.0,1.0,1.0
16,16.0,20.0,47.0,13.0,6.0,1.0,0.0,0.35,0.7732421875,-1.0,0.0,1.0,1.0,1.0
17,17.0,20.0,49.0,11.0,7.0,0.0,2.0,0.36875,0.6736328125,31.0,0.5,0.5,1.0,1.0
18,18.0,20.0,47.0,16.0,3.0,0.0,1.0,0.475,0.7912109375,-1.0,0.0,1.0,1.0,1.0
19,19.0,20.0,49.0,17.0,3.0,0.0,0.0,0.775,0.95,-1.0,0.0,1.0,1.0,1.0
20,20.0,20.0,50.0,8.0,12.0,0.0,0.0,0.6708333333333333,0.939013671875,-1.0,0.0,1.0,1.0,1.0
