node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
ErbB1_2	C1	True	False	True	True	True	0
ErbB2	C0	False	False	True	True	True	0
CDK4	C1	False	False	False	False	False	0
p21	C1	True	True	True	True	True	0
ErbB1_3	C1	True	False	True	True	True	0
CDK2	C0	False	False	True	False	False	0
MEK1	C1	True	False	True	True	True	0
ErbB1	C1	True	False	False	False	False	0
CycD1	C1	False	False	False	False	False	0
p27	C1	True	True	True	True	True	0
CDK6	C1	False	False	True	True	True	0
IGF1R	C3	True	True	False	False	False	0
cMYC	C1	False	False	False	False	False	0
ErbB3	C0	False	False	True	True	True	0
ERa	C3	False	False	True	True	True	0
ErbB2_3	C1	True	False	True	True	True	0
Akt1	C1	True	False	False	False	True	0
CycE1	C0	False	False	True	True	True	0
