,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,53.0,103.0,44.0,7.0,1.0,1.0,0.7358490566037735,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
1,1.0,53.0,101.0,36.0,15.0,1.0,1.0,0.6179245283018868,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
2,2.0,53.0,102.0,41.0,11.0,0.0,1.0,0.6028301886792452,0.8300228478773585,-1.0,0.0,1.0,4.0,3.0
3,3.0,53.0,102.0,45.0,7.0,0.0,1.0,0.6509433962264151,0.9149653596698113,-1.0,0.0,1.0,4.0,3.0
4,4.0,53.0,102.0,44.0,5.0,0.0,4.0,0.6509433962264151,0.8712780070754716,-1.0,0.0,1.0,4.0,3.0
5,5.0,53.0,99.0,45.0,7.0,0.0,1.0,0.6886792452830188,0.8963738207547169,-1.0,0.0,1.0,4.0,3.0
6,6.0,53.0,100.0,48.0,4.0,1.0,0.0,0.7075471698113207,0.8930571933962265,-1.0,0.0,1.0,4.0,3.0
7,7.0,53.0,101.0,52.0,1.0,0.0,0.0,0.6886792452830188,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
8,8.0,53.0,104.0,45.0,7.0,0.0,1.0,0.658805031446541,0.8736549233490566,-1.0,0.0,1.0,4.0,3.0
9,9.0,53.0,101.0,45.0,6.0,0.0,2.0,0.6886792452830188,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
10,10.0,53.0,103.0,47.0,5.0,0.0,1.0,0.6556603773584906,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
11,11.0,53.0,103.0,40.0,11.0,0.0,2.0,0.6698113207547169,0.9038730837264151,-1.0,0.0,1.0,4.0,3.0
12,12.0,53.0,102.0,51.0,2.0,0.0,0.0,0.7358490566037735,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
13,13.0,53.0,101.0,49.0,4.0,0.0,0.0,0.612814465408805,0.8589512087264151,-1.0,0.0,1.0,4.0,3.0
14,14.0,53.0,102.0,47.0,6.0,0.0,0.0,0.7783018867924528,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
15,15.0,53.0,102.0,29.0,13.0,4.0,7.0,0.7075471698113207,0.8908829599056604,24.833333333333332,0.3333333333333333,0.25,4.0,3.0
16,16.0,53.0,103.0,36.0,12.0,0.0,5.0,0.7594339622641509,0.889427329009434,37.25,0.16666666666666666,0.5,4.0,3.0
17,17.0,53.0,102.0,45.0,7.0,0.0,1.0,0.7216981132075472,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
18,18.0,53.0,101.0,42.0,7.0,1.0,3.0,0.5849056603773585,0.8545290389150944,-1.0,0.0,1.0,4.0,3.0
19,19.0,53.0,100.0,40.0,11.0,2.0,0.0,0.7452830188679245,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
20,20.0,53.0,102.0,28.0,21.0,1.0,3.0,0.7735849056603774,0.9245283018867925,3.25,0.16666666666666666,0.5,4.0,3.0
21,21.0,53.0,103.0,47.0,1.0,1.0,4.0,0.6698113207547169,0.8848577535377359,-1.0,0.0,1.0,4.0,3.0
