,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,53.0,103.0,46.0,7.0,0.0,0.0,0.7452830188679245,0.9031176297169812,-1.0,0.0,1.0,4.0,3.0
1,1.0,53.0,103.0,30.0,16.0,3.0,4.0,0.6556603773584906,0.9194612323113207,16.0,0.16666666666666666,0.5,4.0,3.0
2,2.0,53.0,102.0,36.0,14.0,1.0,2.0,0.7641509433962265,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
3,3.0,53.0,103.0,46.0,5.0,1.0,1.0,0.7452830188679245,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
4,4.0,53.0,104.0,40.0,12.0,1.0,0.0,0.7413522012578616,0.8755711969339622,-1.0,0.0,1.0,4.0,3.0
5,5.0,53.0,103.0,45.0,8.0,0.0,0.0,0.7216981132075472,0.9091612617924528,-1.0,0.0,1.0,4.0,3.0
6,6.0,53.0,102.0,44.0,8.0,0.0,1.0,0.6509433962264151,0.9234411851415094,-1.0,0.0,1.0,4.0,3.0
7,7.0,53.0,103.0,38.0,14.0,0.0,1.0,0.7311320754716981,0.8981242629716981,-1.0,0.0,1.0,4.0,3.0
8,8.0,53.0,102.0,46.0,6.0,0.0,1.0,0.6132075471698113,0.8679245283018868,-1.0,0.0,1.0,4.0,3.0
9,9.0,53.0,101.0,40.0,9.0,0.0,4.0,0.5350404312668464,0.8543816332547169,-1.0,0.0,1.0,4.0,3.0
10,10.0,53.0,103.0,37.0,9.0,0.0,7.0,0.7169811320754716,0.9245283018867925,7.0,0.16666666666666666,0.5,4.0,3.0
11,11.0,53.0,100.0,43.0,7.0,1.0,2.0,0.6886792452830188,0.8679245283018868,-1.0,0.0,1.0,4.0,3.0
12,12.0,53.0,103.0,43.0,9.0,0.0,1.0,0.6155660377358491,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
13,13.0,53.0,104.0,43.0,10.0,0.0,0.0,0.7641509433962265,0.8889482606132075,-1.0,0.0,1.0,4.0,3.0
14,14.0,53.0,102.0,42.0,6.0,1.0,4.0,0.5462264150943396,0.8438052771226415,-1.0,0.0,1.0,4.0,3.0
15,15.0,53.0,101.0,30.0,11.0,0.0,12.0,0.7122641509433962,0.9016804245283019,30.25,0.20833333333333334,0.375,4.0,3.0
16,16.0,53.0,98.0,38.0,8.0,0.0,7.0,0.6981132075471698,0.9059551886792453,17.625,0.3333333333333333,0.5,4.0,3.0
17,17.0,53.0,103.0,51.0,2.0,0.0,0.0,0.6839622641509434,0.8759949882075472,-1.0,0.0,1.0,4.0,3.0
18,18.0,53.0,102.0,51.0,1.0,0.0,1.0,0.6179245283018868,0.8665057488207547,-1.0,0.0,1.0,4.0,3.0
19,19.0,53.0,101.0,43.0,10.0,0.0,0.0,0.6761792452830189,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
20,20.0,53.0,102.0,49.0,4.0,0.0,0.0,0.7358490566037735,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
21,21.0,53.0,100.0,38.0,9.0,0.0,6.0,0.6886792452830188,0.9245283018867925,72.75,0.16666666666666666,0.5,4.0,3.0
22,22.0,53.0,101.0,44.0,7.0,0.0,2.0,0.6792452830188679,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
23,23.0,53.0,102.0,47.0,4.0,0.0,2.0,0.6132075471698113,0.9235885908018868,-1.0,0.0,1.0,4.0,3.0
24,24.0,53.0,101.0,46.0,6.0,1.0,0.0,0.75,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
25,25.0,53.0,103.0,39.0,12.0,0.0,2.0,0.7311320754716981,0.8775427476415094,-1.0,0.0,1.0,4.0,3.0
26,26.0,53.0,102.0,45.0,7.0,0.0,1.0,0.5613207547169812,0.8886903007075472,-1.0,0.0,1.0,4.0,3.0
27,27.0,53.0,102.0,45.0,6.0,2.0,0.0,0.6556603773584906,0.8239239386792453,-1.0,0.0,1.0,4.0,3.0
28,28.0,53.0,103.0,41.0,12.0,0.0,0.0,0.7264150943396226,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
29,29.0,53.0,102.0,49.0,3.0,0.0,1.0,0.7075471698113207,0.8868845813679245,-1.0,0.0,1.0,4.0,3.0
30,30.0,53.0,101.0,49.0,3.0,0.0,1.0,0.6886792452830188,0.8909198113207547,-1.0,0.0,1.0,4.0,3.0
31,31.0,53.0,104.0,44.0,7.0,0.0,2.0,0.7075471698113207,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
32,32.0,53.0,102.0,30.0,11.0,9.0,3.0,0.6320754716981132,0.9183004127358491,-1.0,0.0,1.0,4.0,3.0
33,33.0,53.0,102.0,48.0,4.0,0.0,1.0,0.6981132075471698,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
34,34.0,53.0,101.0,36.0,13.0,1.0,3.0,0.7358490566037735,0.9104326356132075,-1.0,0.0,1.0,4.0,3.0
35,35.0,53.0,101.0,47.0,6.0,0.0,0.0,0.5817610062893082,0.8180461379716981,-1.0,0.0,1.0,4.0,3.0
36,36.0,53.0,103.0,40.0,13.0,0.0,0.0,0.6981132075471698,0.8760871167452831,-1.0,0.0,1.0,4.0,3.0
37,37.0,53.0,103.0,44.0,9.0,0.0,0.0,0.7547169811320755,0.9133807488207547,-1.0,0.0,1.0,4.0,3.0
38,38.0,53.0,102.0,34.0,13.0,0.0,6.0,0.6320754716981132,0.8934994103773585,28.75,0.16666666666666666,0.5,4.0,3.0
39,39.0,53.0,101.0,35.0,17.0,1.0,0.0,0.6745283018867925,0.9056603773584906,-1.0,0.0,1.0,4.0,3.0
40,40.0,53.0,102.0,45.0,6.0,0.0,2.0,0.7264150943396226,0.9245283018867925,17.0,0.3333333333333333,0.0,4.0,3.0
41,41.0,53.0,101.0,41.0,6.0,0.0,6.0,0.7264150943396226,0.9245283018867925,22.75,0.16666666666666666,0.5,4.0,3.0
42,42.0,53.0,100.0,44.0,7.0,0.0,2.0,0.5849056603773585,0.9194428066037735,-1.0,0.0,1.0,4.0,3.0
43,43.0,53.0,102.0,50.0,3.0,0.0,0.0,0.7075471698113207,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
44,44.0,53.0,101.0,38.0,15.0,0.0,0.0,0.7830188679245284,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
45,45.0,53.0,104.0,39.0,12.0,1.0,1.0,0.7169811320754716,0.9245283018867925,-1.0,0.0,1.0,4.0,3.0
46,46.0,53.0,103.0,38.0,11.0,1.0,3.0,0.5330188679245284,0.9051444575471698,43.5,0.16666666666666666,0.5,4.0,3.0
47,47.0,53.0,101.0,46.0,7.0,0.0,0.0,0.7641509433962265,0.8873267983490566,-1.0,0.0,1.0,4.0,3.0
48,48.0,53.0,103.0,46.0,7.0,0.0,0.0,0.589622641509434,0.8032871462264151,-1.0,0.0,1.0,4.0,3.0
49,49.0,53.0,103.0,40.0,10.0,0.0,3.0,0.7240566037735849,0.8784087558962265,-1.0,0.0,1.0,4.0,3.0
