node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
miR203	C1	True	True	True	True	True	0
AKT1	C1	True	True	False	True	True	0
p21	C0	False	False	False	False	False	0
VIM	C1	False	True	True	True	True	0
Invasion	C1	False	True	True	True	True	0
TGFbeta	C0	False	False	False	True	True	0
DKK1	C1	False	True	True	True	True	0
EMT	C1	False	True	True	True	True	0
CTNNB1	C1	False	True	False	False	False	0
p63	C1	True	True	False	True	True	0
miR200	C1	True	True	True	True	True	0
p73	C0	False	False	True	True	True	0
GF	C0	False	False	True	True	True	0
NICD	C1	True	True	False	False	True	0
SNAI2	C1	False	True	True	True	True	0
TWIST1	C2	True	True	False	False	False	0
ZEB2	C1	True	True	True	True	True	0
ZEB1	C0	False	False	True	True	True	0
CDH1	C1	True	True	False	False	True	0
CDH2	C2	True	True	True	True	True	0
AKT2	C3	True	True	True	True	True	0
ERK	C3	True	True	True	True	True	0
miR34	C1	True	True	True	True	True	0
Migration	C3	True	True	False	False	False	0
SMAD	C0	False	False	True	True	True	0
SNAI1	C1	True	True	True	True	True	0
p53	C3	True	True	False	False	True	0
