,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,bortezomib,67,135,26,23,1,17,0.6567164179104478,0.9251107742537313,330.37142857142857,0.5833333333333334,0.25,5.0,3.0
1,apoptosis,41,75,37,2,0,2,0.5030487804878049,0.8342701981707317,-1.0,0.0,1.0,2.0,1.0
2,bt474_long,25,74,1,0,0,24,0.58,0.6229296875,19.24,0.20833333333333334,0.5,6.0,3.0
3,bt474_short,16,51,1,10,0,5,0.6875,0.637451171875,8.709090909090909,0.6875,0.1875,5.0,2.0
4,colitis,70,154,55,14,0,1,0.3380952380952381,0.8558454241071428,-1.0,0.0,1.0,1.0,2.0
5,death,28,48,3,12,1,12,0.375,0.7677525111607143,16.0,0.125,0.625,3.0,3.0
6,hcc1954_long,25,74,0,0,0,25,0.48,0.63015625,24.25,0.03125,0.875,6.0,4.0
7,hcc1954_short,16,51,3,9,0,4,0.875,0.6424560546875,4.6,0.59375,0.40625,5.0,1.0
8,hgf,68,109,15,29,1,23,0.6813725490196078,0.9059484145220589,56.06666666666667,0.875,0.125,6.0,5.0
9,mammalian,20,52,4,13,0,3,0.675,0.949462890625,1117.0,0.5,0.5,1.0,1.0
10,mapk,53,108,15,20,4,14,0.6163522012578616,0.9188347582547169,92.66666666666667,0.5,0.5,4.0,3.0
11,oxidative,19,33,3,10,0,6,0.3304093567251462,0.9473684210526315,5.0,0.5,0.5,1.0,1.0
12,fibroblasts,139,555,138,1,0,0,0.38049813313905834,0.7990178169964028,-1.0,0.0,1.0,9.0,2.0
13,skbr3_long,25,85,16,8,0,1,0.68,0.735234375,-1.0,0.0,1.0,4.0,3.0
14,skbr3_short,16,46,1,10,0,5,0.78125,0.61920166015625,7.3,0.1875,0.8125,5.0,2.0
15,tlgl_2008,61,200,43,13,1,4,0.9590163934426229,0.8845895235655737,1334.7142857142858,0.25,0.5,7.0,2.0
16,tlgl_2011,60,201,42,13,1,4,0.9333333333333333,0.8994466145833333,1777.3333333333333,0.25,0.5,6.0,2.0
17,migration,32,158,11,15,2,4,0.53125,0.880462646484375,-1.0,0.0,1.0,2.0,3.0
