,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,19.0,27.0,15.0,4.0,0.0,0.0,0.75,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
1,1.0,19.0,30.0,19.0,0.0,0.0,0.0,0.41459330143540674,0.7589946546052632,-1.0,0.0,1.0,1.0,1.0
2,2.0,19.0,30.0,19.0,0.0,0.0,0.0,0.7105263157894737,0.8802939967105263,-1.0,0.0,1.0,1.0,1.0
3,3.0,19.0,29.0,17.0,2.0,0.0,0.0,0.8157894736842105,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
4,4.0,19.0,28.0,18.0,0.0,0.0,1.0,0.8421052631578947,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
5,5.0,19.0,30.0,7.0,7.0,0.0,5.0,0.6578947368421053,0.9473684210526315,7.0,0.5,0.5,1.0,1.0
6,6.0,19.0,30.0,17.0,2.0,0.0,0.0,0.8026315789473685,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
7,7.0,19.0,30.0,18.0,0.0,0.0,1.0,0.6973684210526315,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
8,8.0,19.0,29.0,13.0,5.0,0.0,1.0,0.75,0.8069490131578947,-1.0,0.0,1.0,1.0,1.0
9,9.0,19.0,29.0,14.0,3.0,0.0,2.0,0.8421052631578947,0.8977693256578947,-1.0,0.0,1.0,1.0,1.0
10,10.0,19.0,29.0,18.0,0.0,0.0,1.0,0.8157894736842105,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
11,11.0,19.0,30.0,14.0,4.0,0.0,1.0,0.7368421052631579,0.8947368421052632,-1.0,0.0,1.0,1.0,1.0
12,12.0,19.0,29.0,16.0,3.0,0.0,0.0,0.631578947368421,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
13,13.0,19.0,30.0,18.0,0.0,0.0,1.0,0.7105263157894737,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
14,14.0,19.0,29.0,16.0,3.0,0.0,0.0,0.7105263157894737,0.8427220394736842,-1.0,0.0,1.0,1.0,1.0
15,15.0,19.0,29.0,16.0,3.0,0.0,0.0,0.7894736842105263,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
16,16.0,19.0,29.0,19.0,0.0,0.0,0.0,0.7697368421052632,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
17,17.0,19.0,29.0,12.0,6.0,0.0,1.0,0.5350877192982456,0.6676603618421053,-1.0,0.0,1.0,1.0,1.0
18,18.0,19.0,30.0,16.0,3.0,0.0,0.0,0.7105263157894737,0.8551089638157895,-1.0,0.0,1.0,1.0,1.0
19,19.0,19.0,29.0,18.0,0.0,0.0,1.0,0.7631578947368421,0.9473684210526315,-1.0,0.0,1.0,1.0,1.0
20,20.0,19.0,30.0,17.0,2.0,0.0,0.0,0.5394736842105263,0.7894736842105263,-1.0,0.0,1.0,1.0,1.0
