node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
Akt	C3	False	True	False	False	False	0
PKC	C0	False	False	False	False	True	0
ARE	C3	True	True	False	False	False	0
Mdm2	C0	False	False	True	True	True	0
Bach1	C1	False	False	True	True	True	0
GSK3b	C1	False	False	True	True	True	0
PIP3	C3	False	True	False	False	False	0
ATM	C1	True	True	False	False	False	0
Nrf2	C1	False	False	True	False	False	0
PIP2	C1	False	True	False	True	False	0
ROS	C3	True	True	True	False	False	0
Ras	C1	False	True	False	True	False	0
Keap1	C0	False	False	True	True	True	0
Bad	C3	True	False	True	True	True	0
PTEN	C1	True	False	False	True	False	0
PI3K	C1	False	True	False	True	True	0
p53	C1	True	True	False	False	False	0
