,network,node,mut,robustness
0,bortezomib,0,oe,1.0
1,bortezomib,0,ko,0.0
2,bortezomib,1,oe,0.0
3,bortezomib,1,ko,0.0
4,bortezomib,2,oe,1.0
5,bortezomib,2,ko,1.0
6,bortezomib,3,oe,0.0
7,bortezomib,3,ko,0.0
8,bortezomib,4,oe,1.0
9,bortezomib,4,ko,1.0
10,bortezomib,63,oe,1.0
11,bortezomib,63,ko,0.0
12,bortezomib,5,oe,0.0
13,bortezomib,5,ko,1.0
14,bortezomib,23,oe,1.0
15,bortezomib,23,ko,0.0
16,bortezomib,6,oe,0.0
17,bortezomib,6,ko,1.0
18,bortezomib,7,oe,1.0
19,bortezomib,7,ko,1.0
20,bortezomib,42,oe,1.0
21,bortezomib,42,ko,1.0
22,bortezomib,35,oe,1.0
23,bortezomib,35,ko,0.0
24,bortezomib,8,oe,1.0
25,bortezomib,8,ko,0.0
26,bortezomib,27,oe,1.0
27,bortezomib,27,ko,0.0
28,bortezomib,9,oe,1.0
29,bortezomib,9,ko,0.0
30,bortezomib,21,oe,1.0
31,bortezomib,21,ko,1.0
32,bortezomib,28,oe,0.0
33,bortezomib,28,ko,1.0
34,bortezomib,34,oe,1.0
35,bortezomib,34,ko,0.0
36,bortezomib,10,oe,1.0
37,bortezomib,10,ko,1.0
38,bortezomib,47,oe,1.0
39,bortezomib,47,ko,1.0
40,bortezomib,11,oe,1.0
41,bortezomib,11,ko,0.0
42,bortezomib,12,oe,1.0
43,bortezomib,12,ko,0.0
44,bortezomib,24,oe,1.0
45,bortezomib,24,ko,1.0
46,bortezomib,13,oe,0.0
47,bortezomib,13,ko,1.0
48,bortezomib,22,oe,1.0
49,bortezomib,22,ko,0.0
50,bortezomib,51,oe,1.0
51,bortezomib,51,ko,1.0
52,bortezomib,52,oe,1.0
53,bortezomib,52,ko,0.0
54,bortezomib,36,oe,0.0
55,bortezomib,36,ko,1.0
56,bortezomib,14,oe,1.0
57,bortezomib,14,ko,0.0
58,bortezomib,31,oe,0.0
59,bortezomib,31,ko,1.0
60,bortezomib,29,oe,1.0
61,bortezomib,29,ko,1.0
62,bortezomib,15,oe,1.0
63,bortezomib,15,ko,1.0
64,bortezomib,16,oe,1.0
65,bortezomib,16,ko,0.0
66,bortezomib,17,oe,1.0
67,bortezomib,17,ko,0.0
68,bortezomib,18,oe,1.0
69,bortezomib,18,ko,1.0
70,bortezomib,54,oe,1.0
71,bortezomib,54,ko,0.0
72,bortezomib,19,oe,1.0
73,bortezomib,19,ko,0.0
74,bortezomib,39,oe,1.0
75,bortezomib,39,ko,0.0
76,bortezomib,20,oe,1.0
77,bortezomib,20,ko,0.0
78,bortezomib,44,oe,0.0
79,bortezomib,44,ko,1.0
80,bortezomib,55,oe,1.0
81,bortezomib,55,ko,0.0
