node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
AKT	C3	True	True	False	False	False	0
ERBB1	C0	False	False	True	True	True	0
cJUN	C0	False	False	True	True	True	0
p70S6K	C1	True	True	False	False	False	0
ERBB2	C0	False	False	False	False	False	0
PRAS	C1	False	True	True	True	True	0
ERBB3	C1	True	True	False	True	True	0
RPS6	C1	True	True	True	False	False	0
GSKa_b	C0	False	False	True	False	False	0
ERK1_2	C0	False	False	False	False	False	0
CyclinD1	C0	False	False	True	True	False	0
BAX	C0	False	False	True	True	True	0
cRAF	C0	False	False	True	False	False	0
TSC2	C0	False	False	True	True	True	0
CyclinB1	C1	False	True	True	False	True	0
PTEN	C1	False	True	True	False	True	0
RB	C1	False	True	False	False	False	0
p53	C1	False	True	False	False	False	0
