,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,16.0,29.0,12.0,4.0,0.0,0.0,0.75,0.6875,-1.0,0.0,1.0,5.0,2.0
1,1.0,16.0,28.0,3.0,7.0,0.0,6.0,0.5625,0.61541748046875,2.7948717948717947,0.5625,0.09375,5.0,2.0
2,2.0,16.0,29.0,12.0,3.0,0.0,1.0,0.53125,0.56103515625,4.8,0.5,0.0,5.0,2.0
3,3.0,16.0,27.0,4.0,5.0,0.0,7.0,0.5625,0.61224365234375,3.1,0.75,0.0625,5.0,2.0
4,4.0,16.0,27.0,1.0,5.0,0.0,10.0,0.6875,0.6455078125,4.5046728971962615,0.71875,0.0,5.0,2.0
5,5.0,16.0,28.0,2.0,5.0,0.0,9.0,0.6875,0.6495361328125,3.022222222222222,0.5625,0.25,5.0,2.0
6,6.0,16.0,28.0,7.0,5.0,0.0,4.0,0.65625,0.6287841796875,3.125,0.75,0.25,5.0,2.0
7,7.0,16.0,28.0,2.0,5.0,0.0,9.0,0.8125,0.6669921875,3.5,0.75,0.25,5.0,2.0
8,8.0,16.0,30.0,5.0,5.0,0.0,6.0,0.6875,0.6708984375,8.8,0.28125,0.4375,5.0,2.0
9,9.0,16.0,27.0,10.0,2.0,0.0,4.0,0.59375,0.5926513671875,2.4,0.25,0.5,5.0,2.0
10,10.0,16.0,27.0,3.0,8.0,0.0,5.0,0.53125,0.61444091796875,5.0,0.09375,0.8125,5.0,2.0
11,11.0,16.0,28.0,14.0,2.0,0.0,0.0,0.6291666666666667,0.63836669921875,-1.0,0.0,1.0,5.0,2.0
12,12.0,16.0,30.0,10.0,3.0,0.0,3.0,0.71875,0.67889404296875,2.6,0.25,0.5,5.0,2.0
13,13.0,16.0,26.0,6.0,3.0,0.0,7.0,0.65625,0.6875,2.4285714285714284,0.5,0.25,5.0,2.0
14,14.0,16.0,28.0,7.0,5.0,0.0,4.0,0.609375,0.6165771484375,3.2,0.25,0.5,5.0,2.0
15,15.0,16.0,28.0,3.0,5.0,0.0,8.0,0.8125,0.6612548828125,6.8,0.390625,0.21875,5.0,2.0
16,16.0,16.0,25.0,15.0,0.0,0.0,1.0,0.609375,0.6875,-1.0,0.0,1.0,5.0,2.0
17,17.0,16.0,28.0,16.0,0.0,0.0,0.0,0.75,0.6846923828125,-1.0,0.0,1.0,5.0,2.0
18,18.0,16.0,30.0,2.0,7.0,1.0,6.0,0.59375,0.67816162109375,8.0,0.4375,0.125,5.0,2.0
19,19.0,16.0,27.0,11.0,2.0,0.0,3.0,0.84375,0.62451171875,2.75,0.25,0.5,5.0,2.0
20,20.0,16.0,29.0,3.0,7.0,0.0,6.0,0.53125,0.52313232421875,2.9642857142857144,0.21875,0.6875,5.0,2.0
21,21.0,16.0,29.0,6.0,4.0,0.0,6.0,0.484375,0.657470703125,2.0,0.1875,0.625,5.0,2.0
22,22.0,16.0,25.0,9.0,2.0,0.0,5.0,0.625,0.6260986328125,3.625,0.5,0.5,5.0,2.0
23,23.0,16.0,29.0,5.0,6.0,0.0,5.0,0.671875,0.6875,5.4,0.125,0.75,5.0,2.0
24,24.0,16.0,28.0,4.0,5.0,0.0,7.0,0.625,0.68695068359375,4.2,0.28125,0.4375,5.0,2.0
25,25.0,16.0,28.0,12.0,3.0,0.0,1.0,0.71875,0.59423828125,-1.0,0.0,1.0,5.0,2.0
26,26.0,16.0,25.0,11.0,1.0,0.0,4.0,0.75,0.67230224609375,2.25,0.25,0.5,5.0,2.0
27,27.0,16.0,26.0,9.0,6.0,0.0,1.0,0.8125,0.6875,-1.0,0.0,1.0,5.0,2.0
28,28.0,16.0,29.0,4.0,5.0,0.0,7.0,0.71875,0.60296630859375,2.4,0.78125,0.0625,5.0,2.0
29,29.0,16.0,29.0,15.0,0.0,0.0,1.0,0.625,0.6875,-1.0,0.0,1.0,5.0,2.0
30,30.0,16.0,27.0,13.0,2.0,0.0,1.0,0.8125,0.6875,4.0,0.5,0.0,5.0,2.0
31,31.0,16.0,28.0,13.0,1.0,0.0,2.0,0.625,0.627685546875,5.8,0.5,0.0,5.0,2.0
32,32.0,16.0,29.0,11.0,2.0,0.0,3.0,0.78125,0.5504150390625,6.333333333333333,0.25,0.5,5.0,2.0
33,33.0,16.0,28.0,12.0,1.0,0.0,3.0,0.46875,0.5836181640625,1.6666666666666667,0.25,0.5,5.0,2.0
34,34.0,16.0,28.0,5.0,5.0,0.0,6.0,0.6875,0.6875,2.2,0.375,0.25,5.0,2.0
35,35.0,16.0,29.0,4.0,5.0,0.0,7.0,0.546875,0.65704345703125,3.0,0.90625,0.0,5.0,2.0
36,36.0,16.0,27.0,8.0,4.0,0.0,4.0,0.40625,0.6004638671875,6.4,0.25,0.5,5.0,2.0
37,37.0,16.0,29.0,2.0,5.0,0.0,9.0,0.6875,0.6484375,2.5090909090909093,0.859375,0.0,5.0,2.0
38,38.0,16.0,29.0,9.0,3.0,0.0,4.0,0.65625,0.62445068359375,2.625,1.0,0.0,5.0,2.0
39,39.0,16.0,28.0,8.0,4.0,0.0,4.0,0.71875,0.64678955078125,4.0,0.4375,0.125,5.0,2.0
40,40.0,16.0,29.0,7.0,3.0,0.0,6.0,0.71875,0.6875,3.0,0.4375,0.125,5.0,2.0
41,41.0,16.0,28.0,2.0,7.0,1.0,6.0,0.71875,0.6875,5.2,0.15625,0.6875,5.0,2.0
42,42.0,16.0,28.0,9.0,4.0,0.0,3.0,0.65625,0.6875,9.4,0.25,0.5,5.0,2.0
43,43.0,16.0,28.0,8.0,3.0,0.0,5.0,0.5625,0.608154296875,6.0,0.125,0.75,5.0,2.0
44,44.0,16.0,27.0,10.0,2.0,0.0,4.0,0.78125,0.63189697265625,3.4,0.25,0.5,5.0,2.0
45,45.0,16.0,29.0,9.0,3.0,0.0,4.0,0.59375,0.61578369140625,4.0,0.375,0.25,5.0,2.0
46,46.0,16.0,27.0,14.0,1.0,0.0,1.0,0.640625,0.61846923828125,-1.0,0.0,1.0,5.0,2.0
47,47.0,16.0,28.0,5.0,4.0,0.0,7.0,0.6875,0.67987060546875,1.8,0.40625,0.1875,5.0,2.0
48,48.0,16.0,30.0,1.0,7.0,0.0,8.0,0.6046875,0.66485595703125,5.683333333333334,0.375,0.5625,5.0,2.0
49,49.0,16.0,29.0,10.0,3.0,0.0,3.0,0.6875,0.63446044921875,5.4,0.25,0.5,5.0,2.0
