,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,redundancy,deterministic_io_ratio,empty_io_ratio,num_input,num_output
0,0.0,60.0,171.0,53.0,5.0,1.0,1.0,0.7,0.8786458333333333,-1.0,0.0,1.0,6.0,2.0
1,1.0,60.0,170.0,56.0,1.0,0.0,3.0,0.6416666666666667,0.8792643229166667,-1.0,0.0,1.0,6.0,2.0
2,2.0,60.0,169.0,59.0,0.0,0.0,1.0,0.75,0.8888346354166666,-1.0,0.0,1.0,6.0,2.0
3,3.0,60.0,166.0,57.0,3.0,0.0,0.0,0.6055555555555556,0.9,-1.0,0.0,1.0,6.0,2.0
4,4.0,60.0,167.0,55.0,4.0,0.0,1.0,0.675,0.8483561197916667,-1.0,0.0,1.0,6.0,2.0
5,5.0,60.0,169.0,47.0,7.0,0.0,6.0,0.7041666666666667,0.9,42.666666666666664,0.125,0.75,6.0,2.0
6,6.0,60.0,170.0,51.0,6.0,0.0,3.0,0.6708333333333333,0.9,77.33333333333333,0.25,0.5,6.0,2.0
7,7.0,60.0,164.0,56.0,3.0,0.0,1.0,0.6333333333333333,0.8719075520833334,-1.0,0.0,1.0,6.0,2.0
8,8.0,60.0,173.0,56.0,4.0,0.0,0.0,0.43138792102206736,0.8516764322916667,-1.0,0.0,1.0,6.0,2.0
9,9.0,60.0,169.0,47.0,11.0,1.0,1.0,0.6805555555555555,0.7872395833333333,-1.0,0.0,1.0,6.0,2.0
10,10.0,60.0,168.0,49.0,5.0,0.0,6.0,0.7083333333333334,0.812451171875,44.666666666666664,0.1875,0.625,6.0,2.0
11,11.0,60.0,164.0,57.0,2.0,0.0,1.0,0.6875,0.9,-1.0,0.0,1.0,6.0,2.0
12,12.0,60.0,165.0,54.0,6.0,0.0,0.0,0.7416666666666667,0.8849772135416667,-1.0,0.0,1.0,6.0,2.0
13,13.0,60.0,170.0,50.0,6.0,0.0,4.0,0.6416666666666667,0.8826822916666667,120.5,0.25,0.5,6.0,2.0
14,14.0,60.0,167.0,54.0,4.0,0.0,2.0,0.675,0.8833333333333333,-1.0,0.0,1.0,6.0,2.0
15,15.0,60.0,173.0,37.0,13.0,1.0,9.0,0.5291666666666667,0.8317220052083333,8.333333333333334,0.25,0.5,6.0,2.0
16,16.0,60.0,168.0,58.0,1.0,0.0,1.0,0.7833333333333333,0.9,-1.0,0.0,1.0,6.0,2.0
17,17.0,60.0,170.0,58.0,1.0,0.0,1.0,0.75,0.8386067708333333,-1.0,0.0,1.0,6.0,2.0
18,18.0,60.0,171.0,57.0,2.0,0.0,1.0,0.7083333333333334,0.8666829427083333,-1.0,0.0,1.0,6.0,2.0
19,19.0,60.0,172.0,56.0,2.0,0.0,2.0,0.6083333333333333,0.7914713541666667,-1.0,0.0,1.0,6.0,2.0
20,20.0,60.0,164.0,57.0,1.0,0.0,2.0,0.6648148148148147,0.8965983072916667,-1.0,0.0,1.0,6.0,2.0
21,21.0,60.0,167.0,60.0,0.0,0.0,0.0,0.725,0.8920084635416666,-1.0,0.0,1.0,6.0,2.0
22,22.0,60.0,168.0,54.0,3.0,0.0,3.0,0.75,0.8694986979166667,-1.0,0.0,1.0,6.0,2.0
23,23.0,60.0,166.0,51.0,4.0,1.0,4.0,0.7833333333333333,0.8944498697916666,118.0,0.25,0.5,6.0,2.0
24,24.0,60.0,165.0,59.0,1.0,0.0,0.0,0.7166666666666667,0.886767578125,-1.0,0.0,1.0,6.0,2.0
25,25.0,60.0,173.0,46.0,10.0,1.0,3.0,0.6263888888888888,0.859716796875,275.3333333333333,0.25,0.5,6.0,2.0
26,26.0,60.0,171.0,51.0,7.0,0.0,2.0,0.7166666666666667,0.82958984375,-1.0,0.0,1.0,6.0,2.0
27,27.0,60.0,171.0,48.0,8.0,0.0,4.0,0.7125,0.9,12.833333333333334,0.25,0.5,6.0,2.0
28,28.0,60.0,169.0,57.0,2.0,0.0,1.0,0.625,0.8591471354166667,-1.0,0.0,1.0,6.0,2.0
29,29.0,60.0,165.0,50.0,8.0,1.0,1.0,0.7166666666666667,0.847802734375,-1.0,0.0,1.0,6.0,2.0
30,30.0,60.0,166.0,34.0,17.0,0.0,9.0,0.7125,0.88857421875,140.0,0.125,0.75,6.0,2.0
31,31.0,60.0,171.0,53.0,7.0,0.0,0.0,0.64,0.85048828125,-1.0,0.0,1.0,6.0,2.0
32,32.0,60.0,169.0,52.0,6.0,0.0,2.0,0.7083333333333334,0.8828776041666667,-1.0,0.0,1.0,6.0,2.0
33,33.0,60.0,170.0,57.0,2.0,0.0,1.0,0.725,0.9,-1.0,0.0,1.0,6.0,2.0
34,34.0,60.0,168.0,54.0,5.0,1.0,0.0,0.4479166666666667,0.837451171875,-1.0,0.0,1.0,6.0,2.0
35,35.0,60.0,170.0,55.0,4.0,0.0,1.0,0.5458333333333333,0.763720703125,-1.0,0.0,1.0,6.0,2.0
36,36.0,60.0,167.0,60.0,0.0,0.0,0.0,0.6166666666666667,0.8427083333333333,-1.0,0.0,1.0,6.0,2.0
37,37.0,60.0,169.0,60.0,0.0,0.0,0.0,0.6211111111111111,0.8279459635416667,-1.0,0.0,1.0,6.0,2.0
38,38.0,60.0,167.0,60.0,0.0,0.0,0.0,0.6833333333333333,0.9,-1.0,0.0,1.0,6.0,2.0
39,39.0,60.0,174.0,50.0,7.0,2.0,1.0,0.6666666666666666,0.8958821614583333,-1.0,0.0,1.0,6.0,2.0
40,40.0,60.0,169.0,55.0,4.0,0.0,1.0,0.6583333333333333,0.8482421875,-1.0,0.0,1.0,6.0,2.0
41,41.0,60.0,172.0,59.0,0.0,0.0,1.0,0.6791666666666667,0.9,-1.0,0.0,1.0,6.0,2.0
42,42.0,60.0,169.0,55.0,4.0,0.0,1.0,0.5541666666666667,0.868408203125,-1.0,0.0,1.0,6.0,2.0
43,43.0,60.0,167.0,51.0,8.0,0.0,1.0,0.6625,0.844970703125,-1.0,0.0,1.0,6.0,2.0
44,44.0,60.0,174.0,55.0,4.0,0.0,1.0,0.7083333333333334,0.8723795572916667,-1.0,0.0,1.0,6.0,2.0
45,45.0,60.0,168.0,55.0,4.0,0.0,1.0,0.5722222222222222,0.8185872395833333,-1.0,0.0,1.0,6.0,2.0
46,46.0,60.0,166.0,38.0,14.0,1.0,7.0,0.6666666666666666,0.8838541666666667,55.0,0.25,0.5,6.0,2.0
47,47.0,60.0,169.0,49.0,10.0,1.0,0.0,0.7166666666666667,0.9,-1.0,0.0,1.0,6.0,2.0
48,48.0,60.0,166.0,45.0,7.0,0.0,8.0,0.725,0.82900390625,39.0,0.375,0.25,6.0,2.0
49,49.0,60.0,167.0,48.0,6.0,0.0,6.0,0.6833333333333333,0.9,270.3333333333333,0.25,0.5,6.0,2.0
