node	Class	Canalizing	UnreachableEffective	FFL3	FFL4	FFL5	FBL
IL2RB	C1	False	True	False	False	False	0
S1P	C0	False	False	True	False	False	0
GZMB	C0	False	False	False	False	False	0
IL2RA	C0	False	False	True	False	False	0
A20	C0	False	False	True	True	True	0
MCL1	C0	False	False	True	True	False	0
FasL	C0	False	False	True	True	True	0
PDGFR	C0	False	False	False	False	False	0
Ceramide	C0	False	False	True	True	True	0
IL2	C1	False	True	False	False	False	0
IFNGT	C0	False	False	True	True	True	0
FYN	C1	False	True	True	True	True	0
STAT3	C3	False	True	False	False	False	0
SOCS	C1	True	True	True	True	True	0
TCR	C0	False	False	False	False	False	0
PLCG1	C0	False	False	True	True	True	0
IAP	C0	False	False	True	False	True	0
SPHK1	C0	False	False	True	True	True	0
MEK	C1	False	True	True	True	True	0
TBET	C2	False	True	True	False	False	0
LCK	C0	False	False	True	True	True	0
NFAT	C0	False	False	True	True	False	0
CREB	C0	False	False	True	False	False	0
RAS	C1	False	True	False	False	False	0
Caspase	C1	True	True	False	False	False	0
TRADD	C0	False	False	True	False	False	0
TPL2	C0	False	False	True	False	False	0
NFKB	C0	False	False	False	False	False	0
IL2RAT	C0	False	False	True	True	True	0
IFNG	C0	False	False	False	False	False	0
Fas	C0	False	False	False	False	False	0
GRB2	C0	False	False	False	False	False	0
BID	C0	False	False	False	False	False	0
GPCR	C0	False	False	True	True	True	0
P2	C0	False	False	True	False	False	0
TNF	C0	False	False	True	True	True	0
P27	C1	True	True	True	True	True	0
SMAD	C0	False	False	True	False	False	0
sFas	C0	False	False	True	True	True	0
DISC	C0	False	False	False	False	False	0
ERK	C1	False	True	False	False	False	0
RANTES	C0	False	False	True	True	True	0
JAK	C3	False	True	False	False	False	0
FLIP	C0	False	False	False	False	False	0
BclxL	C0	False	False	True	True	True	0
PI3K	C1	False	True	False	False	False	0
FasT	C0	False	False	True	False	False	0
IL2RBT	C1	False	True	True	False	False	0
CTLA4	C0	False	False	True	True	True	0
ZAP70	C0	False	False	False	False	False	0
Apoptosis	C3	True	True	False	False	False	0
GAP	C1	False	True	True	False	False	0
