,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc,type,avg_len_wcc,reversibility
2,bortezomib,60,67,128,55,9,0,3,0.63681592039801,0.8767199160447762,0.5,0.1666666666666666,32.0,5.0,3.0,28,0.2058823529411764,87,1.2985074626865671,random,,0.9552238805970149
5,bortezomib,59,67,125,50,9,0,8,0.6492537313432836,0.8783232276119403,0.5,0.1666666666666666,25.4,5.0,3.0,28,0.2058823529411764,89,1.328358208955224,random,,0.8805970149253731
8,bortezomib,23,67,127,55,7,0,5,0.6791044776119403,0.8240292677238806,0.5,0.1666666666666666,45.6,5.0,3.0,31,0.2279411764705882,97,1.4477611940298507,random,,0.9253731343283582
13,bortezomib,20,67,127,52,6,0,9,0.7313432835820896,0.9253731343283582,0.5,0.1666666666666666,19.2,5.0,3.0,26,0.1911764705882352,97,1.4477611940298507,random,,0.8656716417910448
23,bortezomib,50,67,128,62,3,0,2,0.7761194029850746,0.9253731343283582,0.5,0.1666666666666666,20.0,5.0,3.0,27,0.1985294117647058,97,1.4477611940298507,random,,0.9701492537313433
24,bortezomib,15,67,127,62,1,0,4,0.7014925373134329,0.9046758395522388,0.5,0.1666666666666666,35.0,5.0,3.0,23,0.1691176470588235,108,1.611940298507463,random,,0.9402985074626866
25,bortezomib,49,67,128,41,10,0,16,0.6455223880597015,0.8916015625,0.875,0.0416666666666666,92.6,5.0,3.0,23,0.1691176470588235,49,0.7313432835820896,random,,0.7611940298507462
32,bortezomib,97,67,128,54,8,1,4,0.5217661691542289,0.8305736940298507,0.5,0.1666666666666666,59.0,5.0,3.0,24,0.1764705882352941,104,1.5522388059701493,random,,0.9402985074626866
39,bortezomib,95,67,127,58,3,0,6,0.7325870646766169,0.8883220615671642,0.5,0.1666666666666666,6.8,5.0,3.0,24,0.1764705882352941,100,1.492537313432836,random,,0.9104477611940298
44,bortezomib,77,67,127,59,6,0,2,0.7014925373134329,0.9211462220149254,0.5,0.1666666666666666,86.6,5.0,3.0,25,0.1838235294117647,97,1.4477611940298507,random,,0.9701492537313433
52,bortezomib,75,67,127,47,14,0,6,0.6940298507462687,0.9253731343283582,0.0,0.3333333333333333,52.8,5.0,3.0,28,0.2058823529411764,99,1.4776119402985075,random,,0.9104477611940298
56,bortezomib,74,67,129,49,8,0,10,0.6352611940298507,0.8666627798507462,0.625,0.125,36.0,5.0,3.0,25,0.1838235294117647,93,1.388059701492537,random,,0.8507462686567164
