,cell line,condition,io_ratio
0,J82,control,0.0
1,J82,"['~EGFR', '~AKT']",0.0
2,J82,"['~EGFR', '~BCL2']",0.0
3,J82,"['~EGFR', '~FGFR3']",0.0
4,J82,"['~EGFR', '~MAP3K1_3']",0.0
5,J82,"['~EGFR', '~PLCG']",0.0
6,J82,"['~EGFR', '~PPP2CA']",0.0
7,J82,"['~EGFR', '~RAS']",0.0
8,J82,"['~EGFR', '~SOS']",0.0
9,J82,"['~EGFR', '~ATF2']",0.0
10,J82,"['~EGFR', '~ATM']",0.0
11,J82,"['~EGFR', '~ELK1']",0.0
12,J82,"['~EGFR', '~FOS']",0.0
13,J82,"['~EGFR', '~FRS2']",0.0
14,J82,"['~EGFR', '~GAB1']",0.0
15,J82,"['~EGFR', '~GRB2']",0.0
16,J82,"['~EGFR', '~JUN']",0.0
17,J82,"['~EGFR', '~PKC']",0.0
18,J82,"['~EGFR', '~RAF']",0.0
19,J82,"['~EGFR', '~RSK']",0.0
20,J82,"['~EGFR', '~TAOK']",0.0
21,J82,"['~ERK', '~AKT']",0.0
22,J82,"['~ERK', '~BCL2']",0.0
23,J82,"['~ERK', '~FGFR3']",0.0
24,J82,"['~ERK', '~MAP3K1_3']",0.0
25,J82,"['~ERK', '~PLCG']",0.0
26,J82,"['~ERK', '~PPP2CA']",0.0
27,J82,"['~ERK', '~RAS']",0.0
28,J82,"['~ERK', '~SOS']",0.0
29,J82,"['~ERK', '~ATF2']",0.0
30,J82,"['~ERK', '~ATM']",0.0
31,J82,"['~ERK', '~ELK1']",0.0
32,J82,"['~ERK', '~FOS']",0.0
33,J82,"['~ERK', '~FRS2']",0.0
34,J82,"['~ERK', '~GAB1']",0.0
35,J82,"['~ERK', '~GRB2']",0.0
36,J82,"['~ERK', '~JUN']",0.0
37,J82,"['~ERK', '~PKC']",0.0
38,J82,"['~ERK', '~RAF']",0.0
39,J82,"['~ERK', '~RSK']",0.0
40,J82,"['~ERK', '~TAOK']",0.0
41,J82,"['~JNK', '~AKT']",0.0
42,J82,"['~JNK', '~BCL2']",0.0
43,J82,"['~JNK', '~FGFR3']",0.0
44,J82,"['~JNK', '~MAP3K1_3']",0.0
45,J82,"['~JNK', '~PLCG']",0.0
46,J82,"['~JNK', '~PPP2CA']",0.0
47,J82,"['~JNK', '~RAS']",0.0
48,J82,"['~JNK', '~SOS']",0.0
49,J82,"['~JNK', '~ATF2']",0.0
50,J82,"['~JNK', '~ATM']",0.0
51,J82,"['~JNK', '~ELK1']",0.0
52,J82,"['~JNK', '~FOS']",0.0
53,J82,"['~JNK', '~FRS2']",0.0
54,J82,"['~JNK', '~GAB1']",0.0
55,J82,"['~JNK', '~GRB2']",0.0
56,J82,"['~JNK', '~JUN']",0.0
57,J82,"['~JNK', '~PKC']",0.0
58,J82,"['~JNK', '~RAF']",0.0
59,J82,"['~JNK', '~RSK']",0.0
60,J82,"['~JNK', '~TAOK']",0.0
61,J82,"['~MEK1_2', '~AKT']",0.0
62,J82,"['~MEK1_2', '~BCL2']",0.0
63,J82,"['~MEK1_2', '~FGFR3']",0.0
64,J82,"['~MEK1_2', '~MAP3K1_3']",0.0
65,J82,"['~MEK1_2', '~PLCG']",0.0
66,J82,"['~MEK1_2', '~PPP2CA']",0.0
67,J82,"['~MEK1_2', '~RAS']",0.0
68,J82,"['~MEK1_2', '~SOS']",0.0
69,J82,"['~MEK1_2', '~ATF2']",0.0
70,J82,"['~MEK1_2', '~ATM']",0.0
71,J82,"['~MEK1_2', '~ELK1']",0.0
72,J82,"['~MEK1_2', '~FOS']",0.0
73,J82,"['~MEK1_2', '~FRS2']",0.0
74,J82,"['~MEK1_2', '~GAB1']",0.0
75,J82,"['~MEK1_2', '~GRB2']",0.0
76,J82,"['~MEK1_2', '~JUN']",0.0
77,J82,"['~MEK1_2', '~PKC']",0.0
78,J82,"['~MEK1_2', '~RAF']",0.0
79,J82,"['~MEK1_2', '~RSK']",0.0
80,J82,"['~MEK1_2', '~TAOK']",0.0
81,BFTC905,control,0.0
82,BFTC905,"['~EGFR', '~AKT']",0.0
83,BFTC905,"['~EGFR', '~BCL2']",0.0
84,BFTC905,"['~EGFR', '~FGFR3']",0.0
85,BFTC905,"['~EGFR', '~MAP3K1_3']",0.0
86,BFTC905,"['~EGFR', '~PLCG']",0.0
87,BFTC905,"['~EGFR', '~PPP2CA']",0.0
88,BFTC905,"['~EGFR', '~RAS']",0.0
89,BFTC905,"['~EGFR', '~SOS']",0.0
90,BFTC905,"['~EGFR', '~ATF2']",0.0
91,BFTC905,"['~EGFR', '~ATM']",0.0
92,BFTC905,"['~EGFR', '~ELK1']",0.0
93,BFTC905,"['~EGFR', '~FOS']",0.0
94,BFTC905,"['~EGFR', '~FRS2']",0.0
95,BFTC905,"['~EGFR', '~GAB1']",0.0
96,BFTC905,"['~EGFR', '~GRB2']",0.0
97,BFTC905,"['~EGFR', '~JUN']",0.0
98,BFTC905,"['~EGFR', '~PKC']",0.0
99,BFTC905,"['~EGFR', '~RAF']",0.0
100,BFTC905,"['~EGFR', '~RSK']",0.0
101,BFTC905,"['~EGFR', '~TAOK']",0.0
102,BFTC905,"['~ERK', '~AKT']",0.0
103,BFTC905,"['~ERK', '~BCL2']",0.0
104,BFTC905,"['~ERK', '~FGFR3']",0.0
105,BFTC905,"['~ERK', '~MAP3K1_3']",0.0
106,BFTC905,"['~ERK', '~PLCG']",0.0
107,BFTC905,"['~ERK', '~PPP2CA']",0.0
108,BFTC905,"['~ERK', '~RAS']",0.0
109,BFTC905,"['~ERK', '~SOS']",0.0
110,BFTC905,"['~ERK', '~ATF2']",0.0
111,BFTC905,"['~ERK', '~ATM']",0.0
112,BFTC905,"['~ERK', '~ELK1']",0.0
113,BFTC905,"['~ERK', '~FOS']",0.0
114,BFTC905,"['~ERK', '~FRS2']",0.0
115,BFTC905,"['~ERK', '~GAB1']",0.0
116,BFTC905,"['~ERK', '~GRB2']",0.0
117,BFTC905,"['~ERK', '~JUN']",0.0
118,BFTC905,"['~ERK', '~PKC']",0.0
119,BFTC905,"['~ERK', '~RAF']",0.0
120,BFTC905,"['~ERK', '~RSK']",0.0
121,BFTC905,"['~ERK', '~TAOK']",0.0
122,BFTC905,"['~JNK', '~AKT']",0.0
123,BFTC905,"['~JNK', '~BCL2']",0.0
124,BFTC905,"['~JNK', '~FGFR3']",0.0
125,BFTC905,"['~JNK', '~MAP3K1_3']",0.0
126,BFTC905,"['~JNK', '~PLCG']",0.0
127,BFTC905,"['~JNK', '~PPP2CA']",0.0
128,BFTC905,"['~JNK', '~RAS']",0.0
129,BFTC905,"['~JNK', '~SOS']",0.0
130,BFTC905,"['~JNK', '~ATF2']",0.0
131,BFTC905,"['~JNK', '~ATM']",0.0
132,BFTC905,"['~JNK', '~ELK1']",0.0
133,BFTC905,"['~JNK', '~FOS']",0.0
134,BFTC905,"['~JNK', '~FRS2']",0.0
135,BFTC905,"['~JNK', '~GAB1']",0.0
136,BFTC905,"['~JNK', '~GRB2']",0.0
137,BFTC905,"['~JNK', '~JUN']",0.0
138,BFTC905,"['~JNK', '~PKC']",0.0
139,BFTC905,"['~JNK', '~RAF']",0.0
140,BFTC905,"['~JNK', '~RSK']",0.0
141,BFTC905,"['~JNK', '~TAOK']",0.0
142,BFTC905,"['~MEK1_2', '~AKT']",0.0
143,BFTC905,"['~MEK1_2', '~BCL2']",0.0
144,BFTC905,"['~MEK1_2', '~FGFR3']",0.0
145,BFTC905,"['~MEK1_2', '~MAP3K1_3']",0.0
146,BFTC905,"['~MEK1_2', '~PLCG']",0.0
147,BFTC905,"['~MEK1_2', '~PPP2CA']",0.0
148,BFTC905,"['~MEK1_2', '~RAS']",0.0
149,BFTC905,"['~MEK1_2', '~SOS']",0.0
150,BFTC905,"['~MEK1_2', '~ATF2']",0.0
151,BFTC905,"['~MEK1_2', '~ATM']",0.0
152,BFTC905,"['~MEK1_2', '~ELK1']",0.0
153,BFTC905,"['~MEK1_2', '~FOS']",0.0
154,BFTC905,"['~MEK1_2', '~FRS2']",0.0
