,cell line,condition,io_ratio
0,J82,control,0.0
1,J82,"['~EGFR', '~AKT', '~BCL2']",0.0
2,J82,"['~EGFR', '~AKT', '~FGFR3']",0.0
3,J82,"['~EGFR', '~AKT', '~MAP3K1_3']",0.0
4,J82,"['~EGFR', '~AKT', '~PLCG']",0.0
5,J82,"['~EGFR', '~AKT', '~PPP2CA']",0.0
6,J82,"['~EGFR', '~AKT', '~RAS']",0.0
7,J82,"['~EGFR', '~AKT', '~SOS']",0.0
8,J82,"['~EGFR', '~AKT', '~ATF2']",0.0
9,J82,"['~EGFR', '~AKT', '~ATM']",0.0
10,J82,"['~EGFR', '~AKT', '~ELK1']",0.0
11,J82,"['~EGFR', '~AKT', '~FOS']",0.0
12,J82,"['~EGFR', '~AKT', '~FRS2']",0.0
13,J82,"['~EGFR', '~AKT', '~GAB1']",0.0
14,J82,"['~EGFR', '~AKT', '~GRB2']",0.0
15,J82,"['~EGFR', '~AKT', '~JUN']",0.0
16,J82,"['~EGFR', '~AKT', '~PKC']",0.0
17,J82,"['~EGFR', '~AKT', '~RAF']",0.0
18,J82,"['~EGFR', '~AKT', '~RSK']",0.0
19,J82,"['~EGFR', '~AKT', '~TAOK']",0.0
20,J82,"['~EGFR', '~BCL2', '~FGFR3']",0.0
21,J82,"['~EGFR', '~BCL2', '~MAP3K1_3']",0.0
22,J82,"['~EGFR', '~BCL2', '~PLCG']",0.0
23,J82,"['~EGFR', '~BCL2', '~PPP2CA']",0.0
24,J82,"['~EGFR', '~BCL2', '~RAS']",0.0
25,J82,"['~EGFR', '~BCL2', '~SOS']",0.0
26,J82,"['~EGFR', '~BCL2', '~ATF2']",0.0
27,J82,"['~EGFR', '~BCL2', '~ATM']",0.0
28,J82,"['~EGFR', '~BCL2', '~ELK1']",0.0
29,J82,"['~EGFR', '~BCL2', '~FOS']",0.0
30,J82,"['~EGFR', '~BCL2', '~FRS2']",0.0
31,J82,"['~EGFR', '~BCL2', '~GAB1']",0.0
32,J82,"['~EGFR', '~BCL2', '~GRB2']",0.0
33,J82,"['~EGFR', '~BCL2', '~JUN']",0.0
34,J82,"['~EGFR', '~BCL2', '~PKC']",0.0
35,J82,"['~EGFR', '~BCL2', '~RAF']",0.0
36,J82,"['~EGFR', '~BCL2', '~RSK']",0.0
37,J82,"['~EGFR', '~BCL2', '~TAOK']",0.0
38,J82,"['~EGFR', '~FGFR3', '~MAP3K1_3']",0.0
39,J82,"['~EGFR', '~FGFR3', '~PLCG']",0.0
40,J82,"['~EGFR', '~FGFR3', '~PPP2CA']",0.0
41,J82,"['~EGFR', '~FGFR3', '~RAS']",0.0
42,J82,"['~EGFR', '~FGFR3', '~SOS']",0.0
43,J82,"['~EGFR', '~FGFR3', '~ATF2']",0.0
44,J82,"['~EGFR', '~FGFR3', '~ATM']",0.0
45,J82,"['~EGFR', '~FGFR3', '~ELK1']",0.0
46,J82,"['~EGFR', '~FGFR3', '~FOS']",0.0
47,J82,"['~EGFR', '~FGFR3', '~FRS2']",0.0
48,J82,"['~EGFR', '~FGFR3', '~GAB1']",0.0
49,J82,"['~EGFR', '~FGFR3', '~GRB2']",0.0
50,J82,"['~EGFR', '~FGFR3', '~JUN']",0.0
51,J82,"['~EGFR', '~FGFR3', '~PKC']",0.0
52,J82,"['~EGFR', '~FGFR3', '~RAF']",0.0
53,J82,"['~EGFR', '~FGFR3', '~RSK']",0.0
54,J82,"['~EGFR', '~FGFR3', '~TAOK']",0.0
55,J82,"['~EGFR', '~MAP3K1_3', '~PLCG']",0.0
56,J82,"['~EGFR', '~MAP3K1_3', '~PPP2CA']",0.0
57,J82,"['~EGFR', '~MAP3K1_3', '~RAS']",0.0
58,J82,"['~EGFR', '~MAP3K1_3', '~SOS']",0.0
59,J82,"['~EGFR', '~MAP3K1_3', '~ATF2']",0.0
60,J82,"['~EGFR', '~MAP3K1_3', '~ATM']",0.0
61,J82,"['~EGFR', '~MAP3K1_3', '~ELK1']",0.0
62,J82,"['~EGFR', '~MAP3K1_3', '~FOS']",0.0
63,J82,"['~EGFR', '~MAP3K1_3', '~FRS2']",0.0
64,J82,"['~EGFR', '~MAP3K1_3', '~GAB1']",0.0
65,J82,"['~EGFR', '~MAP3K1_3', '~GRB2']",0.0
66,J82,"['~EGFR', '~MAP3K1_3', '~JUN']",0.0
67,J82,"['~EGFR', '~MAP3K1_3', '~PKC']",0.0
68,J82,"['~EGFR', '~MAP3K1_3', '~RAF']",0.0
69,J82,"['~EGFR', '~MAP3K1_3', '~RSK']",0.0
70,J82,"['~EGFR', '~MAP3K1_3', '~TAOK']",0.0
71,J82,"['~EGFR', '~PLCG', '~PPP2CA']",0.0
72,J82,"['~EGFR', '~PLCG', '~RAS']",0.0
73,J82,"['~EGFR', '~PLCG', '~SOS']",0.0
74,J82,"['~EGFR', '~PLCG', '~ATF2']",0.0
75,J82,"['~EGFR', '~PLCG', '~ATM']",0.0
76,J82,"['~EGFR', '~PLCG', '~ELK1']",0.0
77,J82,"['~EGFR', '~PLCG', '~FOS']",0.0
78,J82,"['~EGFR', '~PLCG', '~FRS2']",0.0
79,J82,"['~EGFR', '~PLCG', '~GAB1']",0.0
80,J82,"['~EGFR', '~PLCG', '~GRB2']",0.0
81,J82,"['~EGFR', '~PLCG', '~JUN']",0.0
82,J82,"['~EGFR', '~PLCG', '~PKC']",0.0
83,J82,"['~EGFR', '~PLCG', '~RAF']",0.0
84,J82,"['~EGFR', '~PLCG', '~RSK']",0.0
85,J82,"['~EGFR', '~PLCG', '~TAOK']",0.0
86,J82,"['~EGFR', '~PPP2CA', '~RAS']",0.0
87,J82,"['~EGFR', '~PPP2CA', '~SOS']",0.0
88,J82,"['~EGFR', '~PPP2CA', '~ATF2']",0.0
89,J82,"['~EGFR', '~PPP2CA', '~ATM']",0.0
90,J82,"['~EGFR', '~PPP2CA', '~ELK1']",0.0
91,J82,"['~EGFR', '~PPP2CA', '~FOS']",0.0
92,J82,"['~EGFR', '~PPP2CA', '~FRS2']",0.0
93,J82,"['~EGFR', '~PPP2CA', '~GAB1']",0.0
94,J82,"['~EGFR', '~PPP2CA', '~GRB2']",0.0
