,cell line,mut_io_ratio,rc_io_ratio,rc_io
0,TCCSUP,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])]]"
1,BFTC905,0.0,0.0,"[[list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])]]"
2,SCABER,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])]]"
3,UMUC1,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])]]"
4,RT11284,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])]]"
5,RT112,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])]]"
6,BC3C,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['Proliferation', '~Apoptosis', '~Growth_Arrest'])]]"
7,UMUC3,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])]]"
8,SW1710,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])]]"
9,T24,0.0,0.0,"[[list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])
  list(['~Apoptosis', '~Growth_Arrest', '~Proliferation'])]]"
