,['DUSP1'],['PI3K'],['ELK1'],['DUSP1'],['CREB'],['PI3K'],['ERK'],['PPP2CA'],['MEK1_2'],['DUSP1'],['AP1'],['SPRY'],['p14'],['DUSP1'],['DUSP1'],['p70'],['ATF2'],['AKT'],['PKC'],['DUSP1'],['FGFR3'],['SMAD'],['ATF2'],['CREB'],['CREB'],['GADD45'],['MDM2'],['TAK1'],['FOXO3'],['FOXO3'],['p14'],['p70'],['PDK1'],['PI3K'],['JUN'],['PPP2CA'],['MSK'],['SOS'],['BCL2'],['FGFR3'],['RAF'],['EGFR'],['p70'],['p14'],['FGFR3'],['MDM2'],['PTEN'],['MYC'],['TAOK'],['TAK1'],['ATM'],['ATF2'],['JNK'],['MSK'],['SMAD'],['p53'],['ATM'],['RSK'],['p21'],['PLCG'],['MAX'],['JNK'],['RSK'],['TAK1'],['MDM2'],['SOS'],['PTEN'],['RSK'],['MTK1'],['SMAD'],['MSK'],['PI3K'],['ATF2'],['DUSP1'],['ATF2'],['CREB'],['TAK1'],['MTK1'],['SPRY'],['GAB1'],['RAS'],['MEK1_2'],['MEK1_2'],['AP1'],['TAK1'],['AKT'],['p70'],['GAB1'],['CREB'],['p70'],['PPP2CA'],['PPP2CA'],['TAOK'],['PLCG'],['SMAD'],['FOXO3'],['ATM'],['AKT'],['SMAD'],['DUSP1']
FGFR3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C1,C1,C1,C1
MAP3K1_3,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1
RAS,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C1,C2,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C2,C1,C1,C1,C1,C2,C1,C1,C1,C1,C3,C1,C3,C1,C1,C1,C1,C1,C1,C2,C2,C1,C1,C1,C1,C1,C1,C2,C2,C1,C1,C1,C1,C2,C1,C2,C1,C1,C1,C1,C1,C1,C1,C0,C1,C2,C1,C1,C1,C2,C1
MDM2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3
p70,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C3,C3,C3,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C3,C1,C3,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1
TAK1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3
ATM,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C3,C0,C0,C0,C0,C0,C0,C0,C0,C3,C0,C0,C0,C3,C0,C3,C0,C0,C0,C0,C0,C0,C0,C0,C3,C0,C0,C0,C0,C0,C0,C3,C3,C3,C0,C3,C0,C3,C0,C0,C3,C3,C3,C3,C0,C0,C0,C3,C3,C0,C0,C0,C3,C0,C0,C0,C3,C3,C0,C0,C0,C0,C0,C0,C3,C3,C0,C0,C0,C0,C0,C0,C3,C0,C0,C0,C0,C0,C0,C0,C0,C0,C3,C0,C0,C0,C3,C0
PI3K,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1
SMAD,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C0,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C0,C3,C3,C3,C3,C3,C3,C3,C3,C0,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C1,C3
JNK,C2,C2,C2,C2,C2,C2,C2,C2,C1,C2,C2,C2,C2,C2,C2,C2,C1,C2,C2,C2,C2,C2,C1,C2,C2,C2,C2,C2,C1,C1,C2,C1,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C1,C2,C2,C2,C2,C2,C2,C2,C2,C2,C3,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C1,C2,C2,C2,C2,C2,C2,C2,C2,C2,C1,C2,C2,C2,C1,C2,C2,C1,C2,C2,C2,C2,C2,C1,C2,C2,C2,C2
MYC,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C2,C3,C3,C3,C2,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C2,C3,C3,C3,C3,C3,C3,C1,C3,C3,C2,C2,C3,C2,C3,C3,C3,C2,C2,C2,C3,C3,C3,C3,C2,C3,C3,C3,C1,C3,C3,C3,C2,C1,C3,C3,C3,C3,C3,C3,C2,C2,C3,C3,C3,C3,C3,C3,C2,C2,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C2,C2,C3
p21,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3
SPRY,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C0,C1,C1,C0,C1,C0,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C1,C1,C0,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
BCL2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
MSK,C2,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
SOS,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C1,C2,C1,C2,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C2,C2,C1,C1,C1,C1,C1,C1,C2,C2,C1,C1,C0,C1,C2,C1,C2,C1,C1,C1,C1,C1,C1,C1,C0,C1,C2,C1,C1,C1,C2,C1
