,"['DUSP1', 'p70', 'TGFBR']","['SOS', 'GRB2', 'SPRY']","['MSK', 'FOS', 'EGFR']","['ERK', 'RSK', 'RAF']","['TGFBR', 'ATF2', 'PI3K']","['AKT', 'FGFR3', 'p21']","['SOS', 'ELK1', 'ATF2']","['FOXO3', 'SPRY', 'MAX']","['AP1', 'ELK1', 'AKT']","['p53', 'p14', 'FRS2']","['MTK1', 'PPP2CA', 'PDK1']","['MAX', 'GAB1', 'PI3K']","['CREB', 'MTK1', 'FOXO3']","['ATF2', 'CREB', 'ATM']","['GRB2', 'MSK', 'p21']","['CREB', 'p14', 'ATF2']","['MSK', 'RAS', 'MTK1']","['p14', 'GADD45', 'MAP3K1_3']","['FGFR3', 'FOXO3', 'ELK1']","['JNK', 'AKT', 'SMAD']","['MSK', 'DUSP1', 'GADD45']","['FOS', 'ERK', 'FRS2']","['SPRY', 'ATM', 'TGFBR']","['DUSP1', 'RAF', 'MDM2']","['RAS', 'p14', 'GADD45']","['GADD45', 'RAF', 'BCL2']","['p53', 'JUN', 'FOXO3']","['MDM2', 'PDK1', 'FGFR3']","['RSK', 'MYC', 'GAB1']","['p70', 'ERK', 'GAB1']","['GRB2', 'ELK1', 'p53']","['TAK1', 'ELK1', 'RAS']","['SMAD', 'JNK', 'p14']","['MYC', 'PDK1', 'RAF']","['GADD45', 'MAX', 'ELK1']","['p53', 'MTK1', 'SMAD']","['FOS', 'MAP3K1_3', 'MTK1']","['SOS', 'GRB2', 'PKC']","['FRS2', 'GAB1', 'ATM']","['PLCG', 'p53', 'AKT']","['PDK1', 'AP1', 'SOS']","['CREB', 'PPP2CA', 'p53']","['p53', 'ERK', 'BCL2']","['AKT', 'JNK', 'PDK1']","['AKT', 'p38', 'PLCG']","['JNK', 'GAB1', 'PI3K']","['p38', 'EGFR', 'PTEN']","['TAOK', 'p14', 'EGFR']","['CREB', 'ERK', 'RAS']","['PKC', 'p70', 'AP1']","['ELK1', 'BCL2', 'PPP2CA']","['GAB1', 'GRB2', 'p38']","['MTK1', 'GRB2', 'p14']","['TAOK', 'GAB1', 'TGFBR']","['MAP3K1_3', 'ERK', 'MYC']","['PTEN', 'p70', 'MAX']","['MAP3K1_3', 'MEK1_2', 'DUSP1']","['AP1', 'FGFR3', 'PKC']","['p14', 'RAF', 'p70']","['p21', 'GADD45', 'BCL2']","['PDK1', 'TGFBR', 'EGFR']","['MDM2', 'GAB1', 'MAX']","['MAP3K1_3', 'DUSP1', 'AP1']","['PKC', 'TAOK', 'GAB1']","['SPRY', 'TGFBR', 'p14']","['TGFBR', 'PI3K', 'p38']","['JUN', 'PI3K', 'PTEN']","['MDM2', 'FGFR3', 'RAS']","['EGFR', 'RSK', 'p53']","['p14', 'SOS', 'PI3K']","['RAF', 'PTEN', 'MYC']","['p14', 'MAP3K1_3', 'BCL2']","['PKC', 'FOXO3', 'ATM']","['JUN', 'FOXO3', 'p70']","['GAB1', 'MTK1', 'p53']","['TAK1', 'PDK1', 'p70']","['PI3K', 'FGFR3', 'GAB1']","['PTEN', 'MSK', 'MAX']","['MAP3K1_3', 'GADD45', 'ELK1']","['p21', 'RSK', 'PPP2CA']","['p53', 'FOXO3', 'MSK']","['p53', 'MSK', 'SOS']","['CREB', 'p21', 'ELK1']","['PTEN', 'ATF2', 'FOXO3']","['ERK', 'SOS', 'ATF2']","['SMAD', 'BCL2', 'p70']","['DUSP1', 'JNK', 'PI3K']","['PLCG', 'MSK', 'SPRY']","['RAS', 'AKT', 'SPRY']","['TAOK', 'p14', 'PPP2CA']","['SMAD', 'MYC', 'PI3K']","['DUSP1', 'JUN', 'CREB']","['PKC', 'SOS', 'ELK1']","['ELK1', 'RSK', 'ATF2']","['GAB1', 'FGFR3', 'PKC']","['p14', 'p70', 'CREB']","['p14', 'RSK', 'MDM2']","['RAS', 'p53', 'PDK1']","['RAF', 'PPP2CA', 'MAP3K1_3']","['FRS2', 'TAOK', 'SOS']"
FGFR3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C0,C0,C3,C1,C1,C1,C0,C1,C1,C1,C1,C3,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C0,C1,C0,C1,C1,C0,C1,C1,C1,C1,C1,C1,C0,C1,C0,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C0,C1,C1,C1,C1,C3,C1,C1,C0,C0,C3
MAP3K1_3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C3,C3,C1,C1,C0,C1,C3,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C0,C2,C0,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C0,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1
RAS,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C2,C0,C1,C1,C1,C0,C3,C3,C2,C1,C0,C1,C3,C1,C1,C3,C1,C1,C1,C2,C2,C1,C2,C2,C2,C1,C0,C0,C1,C1,C0,C2,C0,C2,C1,C0,C1,C1,C1,C1,C1,C1,C0,C1,C0,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C2,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C0,C2,C1,C1,C1,C3,C1,C1,C1,C0,C1
MDM2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C0,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C1,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C1,C0,C3,C3,C1,C0,C3,C0,C0,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C1,C3,C1,C3,C3,C3,C1,C3,C1,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3
p70,C1,C1,C3,C1,C1,C1,C1,C1,C1,C3,C1,C3,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C3,C3,C1,C1,C1,C1,C3,C1,C1,C3,C1,C1,C1,C3,C1,C3,C1,C3,C3,C3,C1,C3,C1,C1,C1,C3,C3,C1,C1,C3,C1,C1,C1,C3,C1,C3,C1,C1,C1,C1,C1,C3,C3,C3,C3,C3,C1,C1,C1,C1,C1,C3,C1,C3,C1,C1,C3,C3,C1,C3,C1,C1,C3,C3,C1,C1,C1,C1,C1,C1,C3,C3,C1,C3
TAK1,C1,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C1,C3,C3,C3,C1,C3,C3,C3,C3,C1,C3,C3,C3,C1,C1,C3,C3,C3,C3,C3,C1,C1,C3,C3,C0,C3,C1,C1,C3,C1,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C1,C3,C1,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C1,C3,C3,C3,C3,C1,C1,C3,C3,C3,C3,C3,C1,C1,C1,C3,C3,C3,C3,C3,C1,C3,C1,C3,C3
ATM,C0,C0,C3,C0,C0,C0,C0,C0,C0,C3,C3,C3,C3,C0,C3,C3,C3,C3,C3,C3,C3,C0,C0,C3,C3,C3,C3,C3,C0,C0,C3,C3,C3,C3,C3,C3,C3,C0,C0,C3,C0,C0,C0,C0,C3,C3,C3,C3,C0,C0,C0,C3,C3,C0,C3,C3,C0,C0,C3,C3,C0,C3,C0,C0,C0,C0,C0,C3,C0,C3,C0,C3,C0,C0,C3,C3,C0,C0,C3,C0,C3,C3,C0,C0,C0,C3,C0,C0,C0,C3,C3,C0,C0,C0,C3,C3,C3,C3,C0,C0
PI3K,C0,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C0,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
SMAD,C1,C3,C3,C3,C1,C3,C3,C3,C3,C3,C0,C3,C0,C1,C3,C3,C3,C0,C1,C1,C3,C3,C1,C3,C0,C0,C3,C1,C3,C3,C1,C3,C3,C3,C3,C0,C0,C3,C1,C1,C3,C3,C0,C3,C1,C1,C3,C1,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C1,C0,C1,C3,C3,C3,C1,C1,C3,C3,C3,C3,C3,C3,C1,C3,C0,C3,C3,C3,C3,C3,C1,C1,C3,C3,C3,C3,C3,C1,C1,C1,C1,C3,C3,C3,C3,C1,C3,C1,C3,C3
JNK,C1,C2,C2,C1,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C2,C1,C2,C2,C2,C3,C2,C2,C2,C2,C2,C2,C0,C2,C2,C2,C2,C2,C3,C2,C2,C2,C2,C2,C2,C2,C2,C2,C1,C2,C3,C3,C2,C2,C1,C1,C2,C3,C2,C2,C1,C2,C1,C1,C1,C2,C2,C2,C1,C2,C2,C2,C1,C2,C2,C2,C2,C2,C2,C1,C2,C2,C2,C2,C2,C2,C1,C2,C2,C2,C1,C2,C3,C2,C2,C2,C2,C1,C2,C1,C2,C1,C2,C2,C2,C2
