,"['RSK', 'ATF2', 'MSK', 'FOS']","['MYC', 'p14', 'PLCG', 'FOXO3']","['FGFR3', 'DUSP1', 'PDK1', 'TGFBR']","['TAOK', 'SOS', 'p14', 'MTK1']","['EGFR', 'ERK', 'TGFBR', 'ATM']","['BCL2', 'MAP3K1_3', 'RAS', 'AKT']","['SOS', 'PDK1', 'AKT', 'MAX']","['PDK1', 'EGFR', 'RAS', 'AP1']","['GRB2', 'GAB1', 'SOS', 'ATF2']","['PLCG', 'TAK1', 'PTEN', 'GADD45']","['GADD45', 'EGFR', 'MTK1', 'ATF2']","['MTK1', 'GADD45', 'PLCG', 'GAB1']","['FRS2', 'TGFBR', 'PDK1', 'EGFR']","['p38', 'RAS', 'SPRY', 'FRS2']","['SOS', 'BCL2', 'ATM', 'p38']","['TGFBR', 'PPP2CA', 'FOS', 'MEK1_2']","['BCL2', 'EGFR', 'TAOK', 'PLCG']","['PKC', 'p53', 'AKT', 'ELK1']","['MEK1_2', 'FOS', 'MYC', 'p21']","['ELK1', 'MEK1_2', 'JNK', 'ATM']","['FGFR3', 'GAB1', 'p38', 'SMAD']","['JNK', 'TAK1', 'FGFR3', 'SOS']","['PI3K', 'TGFBR', 'PLCG', 'JNK']","['AP1', 'GAB1', 'ATM', 'RAF']","['PKC', 'MSK', 'EGFR', 'p70']","['RSK', 'GAB1', 'FRS2', 'DUSP1']","['RAS', 'FGFR3', 'MAX', 'GADD45']","['SOS', 'ELK1', 'JUN', 'GAB1']","['JNK', 'MEK1_2', 'MDM2', 'ATM']","['RAS', 'ATF2', 'GADD45', 'PTEN']","['GRB2', 'MDM2', 'SOS', 'p53']","['FGFR3', 'BCL2', 'PI3K', 'RSK']","['PI3K', 'p21', 'SMAD', 'FOXO3']","['FOXO3', 'MYC', 'JUN', 'MAX']","['p14', 'PKC', 'MEK1_2', 'SPRY']","['ELK1', 'p70', 'PDK1', 'MEK1_2']","['PPP2CA', 'MDM2', 'MYC', 'PLCG']","['MSK', 'FGFR3', 'p14', 'p38']","['p21', 'GRB2', 'SOS', 'PDK1']","['SMAD', 'PDK1', 'PLCG', 'ELK1']","['p21', 'JUN', 'GRB2', 'GAB1']","['PLCG', 'SMAD', 'FGFR3', 'PKC']","['MYC', 'RSK', 'GRB2', 'FOXO3']","['TGFBR', 'ATF2', 'MEK1_2', 'ERK']","['TAK1', 'FGFR3', 'ATF2', 'EGFR']","['GRB2', 'PKC', 'PTEN', 'PI3K']","['CREB', 'p14', 'SOS', 'ELK1']","['RAF', 'MEK1_2', 'ATF2', 'RAS']","['SMAD', 'AP1', 'GADD45', 'MSK']","['PI3K', 'MAP3K1_3', 'JNK', 'RSK']","['EGFR', 'FGFR3', 'PI3K', 'FRS2']","['FRS2', 'PLCG', 'AKT', 'SOS']","['SPRY', 'MEK1_2', 'JUN', 'p21']","['p38', 'MDM2', 'AKT', 'ATF2']","['SMAD', 'MSK', 'RSK', 'FOS']","['SPRY', 'PLCG', 'PTEN', 'CREB']","['FOXO3', 'TAOK', 'JUN', 'MAX']","['PKC', 'JNK', 'MEK1_2', 'SOS']","['RSK', 'GRB2', 'DUSP1', 'PPP2CA']","['JUN', 'p38', 'GADD45', 'SOS']","['SOS', 'MEK1_2', 'JNK', 'GADD45']","['SPRY', 'GAB1', 'DUSP1', 'MEK1_2']","['EGFR', 'TGFBR', 'GAB1', 'PI3K']","['PKC', 'MAX', 'TAOK', 'ERK']","['AP1', 'BCL2', 'SMAD', 'MAX']","['PTEN', 'MYC', 'RAF', 'MAX']","['TAOK', 'FRS2', 'CREB', 'PI3K']","['PI3K', 'FOS', 'p14', 'MAP3K1_3']","['AP1', 'SMAD', 'JNK', 'JUN']","['SMAD', 'FGFR3', 'EGFR', 'AKT']","['AKT', 'GADD45', 'MTK1', 'MDM2']","['TAOK', 'RAS', 'DUSP1', 'SOS']","['PPP2CA', 'TAK1', 'PI3K', 'p70']","['ATM', 'p70', 'ELK1', 'CREB']","['GAB1', 'PLCG', 'TAK1', 'SMAD']","['JUN', 'PLCG', 'GADD45', 'PTEN']","['RAS', 'JNK', 'MAP3K1_3', 'ELK1']","['GAB1', 'SMAD', 'ELK1', 'AP1']","['p38', 'JUN', 'MYC', 'DUSP1']","['ERK', 'PLCG', 'BCL2', 'FRS2']","['p21', 'AKT', 'JNK', 'FGFR3']","['MSK', 'p38', 'MDM2', 'FOXO3']","['MTK1', 'CREB', 'SPRY', 'JUN']","['p14', 'p21', 'CREB', 'FRS2']","['ELK1', 'ERK', 'AP1', 'MYC']","['RAS', 'PLCG', 'FOS', 'ATF2']","['TAK1', 'GRB2', 'TAOK', 'SPRY']","['BCL2', 'GAB1', 'TAOK', 'p70']","['RSK', 'PDK1', 'PPP2CA', 'TGFBR']","['MEK1_2', 'AKT', 'MTK1', 'ERK']","['JNK', 'ATM', 'GRB2', 'ATF2']","['FGFR3', 'p14', 'TGFBR', 'DUSP1']","['AKT', 'EGFR', 'TAK1', 'MEK1_2']","['RSK', 'MDM2', 'GADD45', 'RAF']","['FRS2', 'TAOK', 'JUN', 'ERK']","['FGFR3', 'SPRY', 'RAS', 'TAK1']","['p38', 'MEK1_2', 'p53', 'MAP3K1_3']","['MYC', 'EGFR', 'JUN', 'PI3K']","['PI3K', 'MSK', 'MDM2', 'p70']","['CREB', 'PPP2CA', 'MSK', 'FGFR3']"
FGFR3,C1,C3,C1,C1,C1,C0,C1,C3,C1,C0,C1,C1,C3,C0,C0,C1,C0,C1,C1,C0,C1,C1,C0,C1,C1,C1,C1,C1,C0,C0,C0,C3,C1,C1,C1,C1,C0,C1,C1,C0,C1,C3,C1,C1,C3,C1,C1,C0,C1,C0,C3,C0,C0,C0,C1,C0,C0,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C0,C1,C1,C1,C0,C1,C1,C0,C0,C1,C1,C0,C3,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C0,C3,C1,C1
MAP3K1_3,C1,C3,C1,C3,C3,C1,C1,C1,C1,C3,C3,C3,C3,C3,C0,C1,C0,C3,C1,C0,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C3,C1,C1,C1,C1,C1,C3,C1,C0,C1,C1,C1,C0,C1,C1,C1,C3,C3,C1,C0,C1,C1,C1,C1,C3,C1,C1,C0,C1,C1,C1,C1,C3,C1,C0,C3,C3,C3,C1,C1,C1,C1,C1,C1,C1,C3,C3,C1,C1,C1,C1,C1,C0,C1,C1,C1
RAS,C1,C3,C1,C3,C3,C0,C1,C1,C1,C3,C3,C3,C3,C3,C0,C1,C0,C3,C2,C0,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C0,C3,C2,C1,C2,C1,C2,C1,C1,C1,C1,C3,C1,C1,C3,C2,C1,C1,C2,C0,C3,C1,C1,C1,C1,C1,C0,C1,C1,C2,C3,C3,C1,C0,C2,C1,C2,C0,C3,C1,C2,C0,C1,C1,C2,C1,C3,C2,C1,C3,C3,C3,C2,C1,C1,C1,C2,C1,C1,C3,C3,C1,C1,C1,C1,C1,C0,C1,C1,C1
MDM2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C0,C3,C3,C0,C3,C1,C3,C1,C3,C3,C3,C3,C1,C3,C1,C1,C0,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3
p70,C1,C3,C1,C3,C1,C1,C3,C3,C1,C3,C1,C1,C1,C1,C3,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C3,C1,C1,C1,C1,C1,C3,C3,C3,C1,C3,C1,C3,C1,C3,C3,C1,C1,C1,C1,C1,C3,C1,C1,C1,C3,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C3,C3,C3,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C3,C1,C1,C1,C3,C1,C1,C1,C3,C1,C3
TAK1,C3,C1,C1,C3,C1,C3,C1,C3,C3,C1,C3,C3,C1,C3,C0,C1,C1,C3,C1,C1,C3,C3,C1,C3,C1,C3,C3,C3,C0,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C1,C3,C3,C3,C3,C3,C3,C3,C0,C3,C3,C3,C1,C3,C3,C0,C3,C3,C1,C1,C3,C3,C3,C3,C3,C1,C3,C1,C3,C3,C3,C3,C3,C3,C0,C1,C3,C1,C3,C3,C3,C3,C1,C3,C3,C1,C3,C1,C3,C3,C3,C3,C1,C3,C1,C3
ATM,C0,C3,C0,C3,C3,C0,C0,C0,C0,C3,C3,C0,C3,C3,C0,C0,C0,C3,C3,C1,C3,C3,C0,C0,C3,C0,C3,C0,C3,C0,C3,C3,C3,C0,C0,C0,C3,C0,C0,C0,C0,C3,C3,C0,C3,C0,C0,C0,C3,C3,C3,C0,C0,C3,C0,C0,C3,C3,C0,C0,C0,C0,C0,C0,C3,C0,C0,C3,C3,C0,C3,C0,C0,C0,C3,C3,C3,C3,C0,C3,C0,C3,C3,C3,C3,C0,C0,C0,C0,C3,C3,C0,C0,C3,C0,C3,C3,C0,C3,C3
PI3K,C1,C1,C0,C1,C1,C1,C0,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C0,C1,C1,C1,C1,C1,C1,C1,C0,C1,C0,C1
SMAD,C3,C1,C1,C0,C1,C3,C1,C3,C3,C0,C0,C0,C1,C3,C0,C1,C1,C1,C1,C1,C3,C3,C1,C3,C1,C3,C3,C3,C0,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C1,C3,C3,C3,C3,C1,C3,C3,C3,C0,C0,C3,C3,C1,C3,C3,C0,C3,C3,C1,C1,C1,C3,C3,C3,C1,C1,C3,C1,C3,C3,C1,C0,C3,C1,C0,C1,C3,C3,C0,C3,C3,C3,C0,C3,C3,C0,C3,C1,C3,C3,C3,C3,C1,C3,C1,C3
JNK,C2,C3,C2,C2,C2,C2,C2,C1,C1,C2,C1,C2,C2,C3,C3,C1,C2,C2,C1,C2,C3,C3,C2,C1,C1,C2,C2,C1,C1,C1,C2,C2,C1,C1,C1,C1,C2,C3,C2,C2,C2,C2,C2,C1,C1,C2,C2,C1,C2,C3,C2,C2,C1,C1,C2,C2,C3,C3,C2,C1,C1,C1,C2,C1,C2,C2,C2,C2,C3,C2,C2,C2,C2,C1,C2,C1,C3,C1,C1,C2,C2,C3,C2,C2,C1,C1,C2,C1,C2,C1,C3,C2,C1,C2,C1,C2,C1,C1,C1,C2
