,"['MEK1_2', 'ERK', 'RAS', 'MDM2', 'PPP2CA']","['EGFR', 'MSK', 'RSK', 'PTEN', 'RAF']","['JNK', 'MDM2', 'p70', 'GADD45', 'ATM']","['p53', 'ATM', 'GAB1', 'ERK', 'MYC']","['CREB', 'PDK1', 'p21', 'PPP2CA', 'GADD45']","['MSK', 'MYC', 'BCL2', 'RSK', 'SPRY']","['MAP3K1_3', 'RSK', 'MYC', 'JNK', 'PKC']","['FOXO3', 'p38', 'TGFBR', 'p53', 'p70']","['MEK1_2', 'JNK', 'p21', 'SOS', 'MTK1']","['PKC', 'PPP2CA', 'PI3K', 'SOS', 'p21']","['SOS', 'DUSP1', 'JNK', 'FGFR3', 'MAX']","['RAF', 'RSK', 'JNK', 'AP1', 'ERK']","['p53', 'MTK1', 'FGFR3', 'p38', 'SOS']","['FOS', 'PI3K', 'JNK', 'SPRY', 'CREB']","['PTEN', 'MDM2', 'GAB1', 'SMAD', 'ATF2']","['SPRY', 'BCL2', 'ELK1', 'GADD45', 'PLCG']","['GAB1', 'ATF2', 'BCL2', 'MYC', 'EGFR']","['CREB', 'AP1', 'MTK1', 'p14', 'GADD45']","['JNK', 'MTK1', 'PTEN', 'SPRY', 'MAX']","['TAOK', 'FOXO3', 'FGFR3', 'TAK1', 'ATF2']","['TAOK', 'RAF', 'RSK', 'MDM2', 'GRB2']","['BCL2', 'SOS', 'TAOK', 'JNK', 'EGFR']","['SMAD', 'p21', 'p53', 'SPRY', 'PKC']","['JUN', 'MDM2', 'MTK1', 'PTEN', 'GADD45']","['SMAD', 'JNK', 'GADD45', 'p53', 'SOS']","['RSK', 'SPRY', 'TAOK', 'FGFR3', 'MTK1']","['RAF', 'SPRY', 'ELK1', 'FOS', 'MAP3K1_3']","['ATM', 'GAB1', 'PPP2CA', 'MTK1', 'MDM2']","['EGFR', 'SPRY', 'PI3K', 'JUN', 'PLCG']","['MDM2', 'PLCG', 'BCL2', 'EGFR', 'RAS']","['BCL2', 'PI3K', 'JNK', 'ERK', 'TAK1']","['SPRY', 'p53', 'PLCG', 'MAP3K1_3', 'p38']","['FGFR3', 'GRB2', 'PDK1', 'RAF', 'AP1']","['TAK1', 'ELK1', 'RAF', 'DUSP1', 'FRS2']","['MAX', 'FGFR3', 'TAOK', 'ATF2', 'EGFR']","['PKC', 'JNK', 'PTEN', 'FRS2', 'SOS']","['p21', 'ATF2', 'p53', 'ERK', 'JNK']","['AP1', 'MEK1_2', 'RAS', 'p14', 'FOXO3']","['ERK', 'MTK1', 'PI3K', 'SMAD', 'SOS']","['MEK1_2', 'ATF2', 'FOXO3', 'SOS', 'AKT']","['RSK', 'EGFR', 'p70', 'SOS', 'PI3K']","['PKC', 'FOS', 'CREB', 'TAK1', 'JUN']","['p21', 'PTEN', 'p38', 'JUN', 'SPRY']","['MAX', 'SMAD', 'MEK1_2', 'PKC', 'MDM2']","['p21', 'SPRY', 'MAX', 'p38', 'PTEN']","['p53', 'PKC', 'CREB', 'ATF2', 'RAF']","['TGFBR', 'RSK', 'RAS', 'DUSP1', 'p70']","['AP1', 'TAK1', 'AKT', 'JNK', 'RSK']","['FRS2', 'AP1', 'PTEN', 'EGFR', 'RSK']","['SMAD', 'RSK', 'GAB1', 'FGFR3', 'MTK1']","['FOS', 'AKT', 'PPP2CA', 'SMAD', 'p14']","['p21', 'PLCG', 'FOS', 'SPRY', 'ERK']","['RAS', 'PI3K', 'BCL2', 'GAB1', 'RSK']","['PKC', 'MAX', 'JUN', 'p14', 'PDK1']","['p14', 'FRS2', 'TAOK', 'SPRY', 'p38']","['ATM', 'p70', 'TGFBR', 'DUSP1', 'FOXO3']","['p21', 'GAB1', 'SOS', 'MTK1', 'ERK']","['FGFR3', 'MSK', 'p38', 'p21', 'TGFBR']","['ELK1', 'EGFR', 'FGFR3', 'FOXO3', 'PI3K']","['ATF2', 'TGFBR', 'SMAD', 'FRS2', 'JNK']","['TAK1', 'GADD45', 'SOS', 'MAX', 'p14']","['PKC', 'MTK1', 'RSK', 'ELK1', 'JNK']","['ATM', 'PI3K', 'PDK1', 'TAOK', 'JUN']","['MTK1', 'SPRY', 'MAP3K1_3', 'GADD45', 'FOS']","['TAK1', 'RAS', 'TGFBR', 'GADD45', 'FRS2']","['EGFR', 'SMAD', 'ELK1', 'TGFBR', 'MYC']","['MAP3K1_3', 'RSK', 'PDK1', 'PLCG', 'MAX']","['p53', 'GADD45', 'RSK', 'PDK1', 'TAK1']","['MAP3K1_3', 'p53', 'TAOK', 'SPRY', 'p14']","['PI3K', 'JUN', 'ATM', 'p38', 'DUSP1']","['PTEN', 'AKT', 'GAB1', 'FOS', 'p14']","['MEK1_2', 'AP1', 'TAK1', 'TAOK', 'RAF']","['p53', 'EGFR', 'ATM', 'FGFR3', 'p38']","['MSK', 'FOXO3', 'p14', 'PLCG', 'p53']","['ATM', 'FOXO3', 'MSK', 'MAX', 'MAP3K1_3']","['GAB1', 'p21', 'FOS', 'ELK1', 'PTEN']","['FRS2', 'FGFR3', 'RAS', 'MSK', 'EGFR']","['ERK', 'SPRY', 'MEK1_2', 'MTK1', 'PI3K']","['RSK', 'MAX', 'FGFR3', 'PTEN', 'CREB']","['TAOK', 'DUSP1', 'EGFR', 'PKC', 'TAK1']","['DUSP1', 'ERK', 'MAX', 'MEK1_2', 'CREB']","['GAB1', 'AKT', 'GRB2', 'MTK1', 'EGFR']","['p14', 'AKT', 'EGFR', 'MDM2', 'CREB']","['RAS', 'FGFR3', 'GAB1', 'PKC', 'SOS']","['RSK', 'MSK', 'p38', 'PI3K', 'AKT']","['EGFR', 'FOXO3', 'PI3K', 'FGFR3', 'MYC']","['RAS', 'PDK1', 'JNK', 'CREB', 'p38']","['PKC', 'PI3K', 'RAF', 'TAK1', 'MAX']","['p21', 'PPP2CA', 'ERK', 'p53', 'JNK']","['SOS', 'SPRY', 'ATM', 'FOXO3', 'p21']","['BCL2', 'TGFBR', 'PDK1', 'MYC', 'MTK1']","['SMAD', 'FOXO3', 'MAP3K1_3', 'p21', 'JUN']","['MDM2', 'MSK', 'SOS', 'SMAD', 'DUSP1']","['MAP3K1_3', 'p70', 'JUN', 'CREB', 'FOXO3']","['SOS', 'TGFBR', 'p14', 'MDM2', 'MEK1_2']","['PPP2CA', 'p38', 'RAS', 'MAX', 'TGFBR']","['SMAD', 'MSK', 'TAOK', 'GAB1', 'AKT']","['ELK1', 'TAK1', 'PI3K', 'FOS', 'EGFR']","['SMAD', 'AKT', 'MYC', 'MAX', 'SPRY']","['MEK1_2', 'AKT', 'RSK', 'ATF2', 'EGFR']"
FGFR3,C0,C1,C1,C0,C1,C1,C0,C0,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C3,C1,C0,C1,C1,C1,C1,C1,C1,C3,C0,C1,C1,C1,C1,C0,C1,C1,C0,C1,C0,C1,C1,C1,C1,C1,C1,C0,C1,C1,C3,C1,C1,C0,C1,C0,C1,C0,C1,C1,C1,C1,C1,C1,C1,C0,C1,C0,C1,C1,C0,C1,C1,C0,C3,C0,C1,C0,C1,C1,C0,C1,C3,C3,C0,C1,C3,C1,C1,C0,C0,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1
MAP3K1_3,C3,C3,C1,C0,C1,C1,C1,C1,C1,C1,C1,C3,C1,C3,C1,C1,C1,C1,C1,C3,C1,C0,C1,C1,C3,C1,C1,C1,C3,C1,C1,C1,C1,C1,C0,C3,C1,C3,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C3,C1,C1,C1,C1,C0,C1,C0,C1,C1,C3,C1,C1,C0,C1,C1,C3,C1,C1,C1,C1,C1,C1,C0,C3,C0,C1,C1,C1,C1,C0,C1,C1,C1,C1,C3,C3,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C3,C1,C3
RAS,C3,C3,C1,C0,C2,C1,C1,C1,C1,C1,C1,C3,C1,C3,C1,C1,C1,C2,C2,C3,C1,C0,C2,C2,C3,C1,C2,C2,C3,C1,C2,C1,C1,C1,C0,C3,C1,C3,C2,C1,C1,C2,C1,C2,C3,C1,C1,C1,C2,C3,C2,C1,C2,C1,C0,C1,C0,C1,C1,C3,C2,C1,C1,C2,C1,C3,C0,C1,C1,C1,C1,C1,C0,C3,C0,C1,C1,C1,C1,C0,C1,C1,C1,C1,C3,C3,C1,C1,C1,C0,C1,C2,C2,C0,C1,C1,C2,C3,C2,C3
MDM2,C3,C3,C0,C0,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C1,C3,C1,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C1,C3,C3,C1,C3,C3,C1,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C1,C1,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C1,C3,C1,C3,C3,C3,C3,C1,C3,C1,C1
p70,C1,C1,C1,C1,C3,C3,C3,C3,C1,C3,C1,C1,C3,C1,C3,C1,C1,C1,C3,C1,C3,C1,C3,C1,C3,C1,C1,C1,C3,C3,C1,C1,C1,C1,C3,C3,C3,C1,C1,C1,C1,C1,C3,C1,C3,C3,C1,C3,C3,C1,C3,C1,C1,C3,C3,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C3,C3,C3,C1,C3,C1,C3,C3,C1,C3,C1,C1,C3,C1,C3,C3,C3,C1,C3,C1,C1,C3,C3,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
TAK1,C1,C1,C1,C1,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C1,C3,C3,C3,C1,C3,C3,C1,C3,C3,C1,C3,C3,C1,C3,C3,C1,C3,C0,C3,C1,C3,C3,C1,C3,C1,C1,C3,C3,C3,C3,C3,C3,C1,C3,C0,C3,C3,C3,C3,C3,C1,C3,C1,C1,C3,C3,C3,C0,C3,C1,C1,C1,C1,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C1,C3,C1,C0,C1,C3,C3,C3,C1,C1,C3,C1,C3,C0
ATM,C3,C3,C1,C1,C3,C3,C3,C3,C3,C0,C0,C0,C3,C0,C3,C3,C3,C3,C3,C0,C3,C0,C3,C3,C3,C0,C0,C3,C3,C3,C3,C0,C0,C0,C3,C0,C3,C3,C3,C0,C0,C3,C3,C3,C3,C3,C0,C0,C0,C3,C3,C0,C0,C3,C0,C0,C0,C0,C0,C0,C3,C3,C0,C3,C0,C3,C3,C3,C3,C0,C3,C3,C1,C3,C1,C0,C0,C3,C3,C0,C3,C3,C0,C0,C0,C3,C3,C3,C3,C0,C0,C3,C3,C0,C0,C0,C0,C3,C3,C0
PI3K,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C0,C3,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C0,C1,C1,C1,C1,C1,C1
SMAD,C1,C1,C1,C1,C0,C3,C3,C1,C0,C1,C3,C3,C3,C3,C3,C0,C3,C0,C0,C1,C3,C3,C1,C0,C0,C1,C3,C0,C1,C3,C3,C1,C3,C3,C1,C3,C3,C1,C1,C0,C3,C3,C3,C1,C3,C3,C1,C3,C3,C0,C1,C3,C3,C3,C3,C3,C0,C3,C3,C3,C0,C3,C1,C0,C0,C1,C3,C0,C1,C0,C3,C3,C1,C1,C1,C3,C3,C0,C3,C1,C3,C1,C3,C3,C3,C3,C1,C3,C1,C0,C0,C3,C1,C3,C1,C1,C3,C3,C3,C0
JNK,C1,C2,C2,C2,C2,C2,C3,C2,C1,C2,C2,C1,C3,C3,C1,C2,C1,C2,C3,C0,C2,C3,C2,C1,C3,C2,C2,C2,C2,C2,C1,C2,C1,C2,C1,C3,C1,C3,C2,C0,C1,C1,C3,C1,C3,C1,C1,C3,C2,C2,C2,C1,C2,C1,C3,C1,C1,C3,C1,C1,C2,C3,C1,C2,C2,C2,C2,C2,C2,C1,C2,C1,C3,C3,C1,C2,C2,C1,C2,C2,C1,C2,C2,C2,C3,C1,C3,C2,C1,C2,C2,C3,C2,C0,C1,C2,C2,C2,C2,C1
